AUTO_RESUME modality=t2f step=484
TRAIN_MODALITY_START modality=t2f target=150000 gpu=1
Command: /root/brats2026/envs/g1_diffusion_v3/bin/python src/train/tumour_main_diffusion.py --dataset BRATS_2024 --modality t2f --logdir brats2026_diffusion_v3_edm_zscore --checkpoint_root /root/brats2026/runs/g1_diffusion_v3/checkpoints --csv_path /root/brats2026/runs/g1_diffusion_v3/splits/current/lesions.csv --split train --batch_size 8 --loader_workers 16 --generator_type Unet_NnU --network_channels 48\,96\,192\,384 --network_strides 2\,2\,2 --crop_size 64 --small_lesion_weight 3.0 --small_lesion_threshold 27.0 --small_lesion_clamp 1.0 --patient_balance_mode sqrt --num_steps 150000 --checkpoint_interval 5000 --keep_last_checkpoints 6 --n_steps 1000 --noise_schedule edm --normalization zscore --sigma_data 1.0 --use_compile --resume_iter 484
## ALL dirs set ##
[Auto] in_channels=5 (detected from BRATS_2024)
[Schedule] edm, embedding_mode=continuous
Using TimeConditionedUNet_NnU (Diffusion + nnU-Net planner)
[Unet_NnU] Using ContinuousNoiseEmbedding (EDM / logsnr mode)
  time_ch_count=8
Using TimeConditionedUNet_NnU (Diffusion + nnU-Net planner)
[Unet_NnU] GPU=79.4GB | channels=(48, 96, 192, 384) strides=(2, 2, 2) | suggested_batch=39
[Optimization] torch.compile enabled for model
Loading model from /root/brats2026/runs/g1_diffusion_v3/checkpoints/brats2026_diffusion_v3_edm_zscore
Pre-trained weights loaded. Resuming from epoch 2, step 484
CSV_PATH: /root/brats2026/runs/g1_diffusion_v3/splits/current/lesions.csv
Scan Modality: scan_t2f
CSV split: train
Normalization: zscore
Using dataset: BRATS_2024
Using Gaussian noise only in the tumour zone
Number of train lesion crops: 6669
Dataset training: number of batches: 834
Leaving the data loader. Good luck!
/root/brats2026/envs/g1_diffusion_v3/lib/python3.12/site-packages/torch/_dynamo/variables/functions.py:1692: UserWarning: Dynamo detected a call to a `functools.lru_cache`-wrapped function. Dynamo ignores the cache wrapper and directly traces the wrapped function. Silent incorrectness is only a *potential* risk, not something we have observed. Enable TORCH_LOGS="+dynamo" for a DEBUG stack trace.
  torch._dynamo.utils.warn_once(msg)
Step:485/150000, Loss:0.333844, Time:4.4275
Step:486/150000, Loss:0.249588, Time:0.0720
Step:487/150000, Loss:0.185829, Time:0.0697
Step:488/150000, Loss:0.198041, Time:0.0695
Step:489/150000, Loss:0.276665, Time:0.0671
Step:490/150000, Loss:0.325799, Time:0.0669
Step:491/150000, Loss:0.244179, Time:0.0667
Step:492/150000, Loss:0.424527, Time:0.0670
Step:493/150000, Loss:0.309420, Time:0.0691
Step:494/150000, Loss:0.231778, Time:0.0670
Step:495/150000, Loss:0.459062, Time:0.0673
Step:496/150000, Loss:0.166873, Time:0.0675
Step:497/150000, Loss:0.345843, Time:0.0712
Step:498/150000, Loss:0.375844, Time:0.0688
Step:499/150000, Loss:0.453526, Time:0.0699
Step:500/150000, Loss:0.376718, Time:0.0681
Step:501/150000, Loss:0.217353, Time:0.0752
Step:502/150000, Loss:0.316745, Time:0.0713
Step:503/150000, Loss:0.486469, Time:0.0761
Step:504/150000, Loss:0.321762, Time:0.0712
Step:505/150000, Loss:0.174713, Time:0.0743
Step:506/150000, Loss:0.365519, Time:0.0795
Step:507/150000, Loss:0.367948, Time:0.0769
Step:508/150000, Loss:0.259917, Time:0.0784
Step:509/150000, Loss:0.197529, Time:0.0758
Step:510/150000, Loss:0.278515, Time:0.0754
Step:511/150000, Loss:0.231231, Time:0.0731
Step:512/150000, Loss:0.479457, Time:0.0725
Step:513/150000, Loss:0.377976, Time:0.0719
Step:514/150000, Loss:0.476189, Time:0.0703
Step:515/150000, Loss:0.269122, Time:0.0703
Step:516/150000, Loss:0.269149, Time:0.0756
Step:517/150000, Loss:0.157434, Time:0.0746
Step:518/150000, Loss:0.291096, Time:0.0694
Step:519/150000, Loss:0.207162, Time:0.0685
Step:520/150000, Loss:0.225971, Time:0.0758
Step:521/150000, Loss:0.296760, Time:0.0756
Step:522/150000, Loss:0.675404, Time:0.0749
Step:523/150000, Loss:0.359599, Time:0.0807
Step:524/150000, Loss:0.229042, Time:0.0761
Step:525/150000, Loss:0.302212, Time:0.0817
Step:526/150000, Loss:0.263163, Time:0.0782
Step:527/150000, Loss:0.474686, Time:0.0789
Step:528/150000, Loss:0.364984, Time:0.0741
Step:529/150000, Loss:0.190377, Time:0.0776
