AUTO_RESUME modality=t1n step=90329
TRAIN_MODALITY_START modality=t1n target=150000 gpu=0
Command: /root/brats2026/envs/g1_diffusion_v3/bin/python src/train/tumour_main_diffusion.py --dataset BRATS_2024 --modality t1n --logdir brats2026_diffusion_v3_edm_zscore --checkpoint_root /root/brats2026/runs/g1_diffusion_v3/checkpoints --csv_path /root/brats2026/runs/g1_diffusion_v3/splits/current/lesions.csv --split train --batch_size 8 --loader_workers 16 --generator_type Unet_NnU --network_channels 48\,96\,192\,384 --network_strides 2\,2\,2 --crop_size 64 --small_lesion_weight 3.0 --small_lesion_threshold 27.0 --small_lesion_clamp 1.0 --patient_balance_mode sqrt --num_steps 150000 --checkpoint_interval 5000 --keep_last_checkpoints 6 --n_steps 1000 --noise_schedule edm --normalization zscore --sigma_data 1.0 --use_compile --resume_iter 90329
## ALL dirs set ##
[Auto] in_channels=5 (detected from BRATS_2024)
[Schedule] edm, embedding_mode=continuous
Using TimeConditionedUNet_NnU (Diffusion + nnU-Net planner)
[Unet_NnU] Using ContinuousNoiseEmbedding (EDM / logsnr mode)
  time_ch_count=8
Using TimeConditionedUNet_NnU (Diffusion + nnU-Net planner)
[Unet_NnU] GPU=95.1GB | channels=(48, 96, 192, 384) strides=(2, 2, 2) | suggested_batch=47
[Optimization] torch.compile enabled for model
Loading model from /root/brats2026/runs/g1_diffusion_v3/checkpoints/brats2026_diffusion_v3_edm_zscore
Pre-trained weights loaded. Resuming from epoch 110, step 90329
CSV_PATH: /root/brats2026/runs/g1_diffusion_v3/splits/current/lesions.csv
Scan Modality: scan_t1n
CSV split: train
Normalization: zscore
Using dataset: BRATS_2024
Using Gaussian noise only in the tumour zone
Number of train lesion crops: 6669
Dataset training: number of batches: 834
Leaving the data loader. Good luck!
/root/brats2026/envs/g1_diffusion_v3/lib/python3.12/site-packages/torch/_dynamo/variables/functions.py:1692: UserWarning: Dynamo detected a call to a `functools.lru_cache`-wrapped function. Dynamo ignores the cache wrapper and directly traces the wrapped function. Silent incorrectness is only a *potential* risk, not something we have observed. Enable TORCH_LOGS="+dynamo" for a DEBUG stack trace.
  torch._dynamo.utils.warn_once(msg)
Step:90330/150000, Loss:0.090090, Time:4.0253
Step:90331/150000, Loss:0.057214, Time:0.0634
Step:90332/150000, Loss:0.044480, Time:0.0618
Step:90333/150000, Loss:0.047278, Time:0.0617
Step:90334/150000, Loss:0.067970, Time:0.0621
Step:90335/150000, Loss:0.050686, Time:0.0649
Step:90336/150000, Loss:0.045177, Time:0.0633
Step:90337/150000, Loss:0.079111, Time:0.0627
Step:90338/150000, Loss:0.043043, Time:0.0633
Step:90339/150000, Loss:0.103401, Time:0.0625
Step:90340/150000, Loss:0.066394, Time:0.0594
Step:90341/150000, Loss:0.043230, Time:0.0609
Step:90342/150000, Loss:0.078707, Time:0.0625
Step:90343/150000, Loss:0.036949, Time:0.0614
Step:90344/150000, Loss:0.089812, Time:0.0718
Step:90345/150000, Loss:0.110366, Time:0.0629
Step:90346/150000, Loss:0.055852, Time:0.0632
Step:90347/150000, Loss:0.075830, Time:0.0638
Step:90348/150000, Loss:0.059694, Time:0.0661
Step:90349/150000, Loss:0.109503, Time:0.0662
Step:90350/150000, Loss:0.065711, Time:0.0661
Step:90351/150000, Loss:0.102198, Time:0.0601
Step:90352/150000, Loss:0.057174, Time:0.0644
Step:90353/150000, Loss:0.108574, Time:0.0660
Step:90354/150000, Loss:0.048943, Time:0.0633
Step:90355/150000, Loss:0.043962, Time:0.0624
Step:90356/150000, Loss:0.128011, Time:0.0623
Step:90357/150000, Loss:0.048940, Time:0.0631
Step:90358/150000, Loss:0.050462, Time:0.0621
Step:90359/150000, Loss:0.160976, Time:0.0626
Step:90360/150000, Loss:0.080930, Time:0.0628
Step:90361/150000, Loss:0.037663, Time:0.1133
Step:90362/150000, Loss:0.028248, Time:0.0642
Step:90363/150000, Loss:0.111091, Time:0.0634
Step:90364/150000, Loss:0.051735, Time:0.0617
Step:90365/150000, Loss:0.072022, Time:0.0608
Step:90366/150000, Loss:0.066918, Time:0.0597
Step:90367/150000, Loss:0.129367, Time:0.0632
Step:90368/150000, Loss:0.073056, Time:0.0617
Step:90369/150000, Loss:0.124932, Time:0.0614
Step:90370/150000, Loss:0.071563, Time:0.0618
Step:90371/150000, Loss:0.065087, Time:0.0608
Step:90372/150000, Loss:0.064928, Time:0.0597
Step:90373/150000, Loss:0.235377, Time:0.0676
Step:90374/150000, Loss:0.029378, Time:0.0645
Step:90375/150000, Loss:0.047372, Time:0.0635
Step:90376/150000, Loss:0.145409, Time:0.0630
Step:90377/150000, Loss:0.112131, Time:0.0625
Step:90378/150000, Loss:0.135935, Time:0.0610
Step:90379/150000, Loss:0.098902, Time:0.0615
Step:90380/150000, Loss:0.052305, Time:0.0629
Step:90381/150000, Loss:0.111649, Time:0.0639
Step:90382/150000, Loss:0.059795, Time:0.0597
