AUTO_RESUME modality=t2w step=10
TRAIN_MODALITY_START modality=t2w target=150000 gpu=0
Command: /root/brats2026/envs/g1_diffusion_v3/bin/python src/train/tumour_main_diffusion.py --dataset BRATS_2024 --modality t2w --logdir brats2026_diffusion_v3_edm_zscore --checkpoint_root /root/brats2026/runs/g1_diffusion_v3/checkpoints --csv_path /root/brats2026/runs/g1_diffusion_v3/splits/current/lesions.csv --split train --batch_size 8 --loader_workers 16 --generator_type Unet_NnU --network_channels 48\,96\,192\,384 --network_strides 2\,2\,2 --crop_size 64 --small_lesion_weight 3.0 --small_lesion_threshold 27.0 --small_lesion_clamp 1.0 --patient_balance_mode sqrt --num_steps 150000 --checkpoint_interval 5000 --keep_last_checkpoints 6 --n_steps 1000 --noise_schedule edm --normalization zscore --sigma_data 1.0 --use_compile --resume_iter 10
## ALL dirs set ##
[Auto] in_channels=5 (detected from BRATS_2024)
[Schedule] edm, embedding_mode=continuous
Using TimeConditionedUNet_NnU (Diffusion + nnU-Net planner)
[Unet_NnU] Using ContinuousNoiseEmbedding (EDM / logsnr mode)
  time_ch_count=8
Using TimeConditionedUNet_NnU (Diffusion + nnU-Net planner)
[Unet_NnU] GPU=79.2GB | channels=(48, 96, 192, 384) strides=(2, 2, 2) | suggested_batch=39
[Optimization] torch.compile enabled for model
Loading model from /root/brats2026/runs/g1_diffusion_v3/checkpoints/brats2026_diffusion_v3_edm_zscore
Pre-trained weights loaded. Resuming from epoch 1, step 10
CSV_PATH: /root/brats2026/runs/g1_diffusion_v3/splits/current/lesions.csv
Scan Modality: scan_t2w
CSV split: train
Normalization: zscore
Using dataset: BRATS_2024
Using Gaussian noise only in the tumour zone
Number of train lesion crops: 6669
Dataset training: number of batches: 834
Leaving the data loader. Good luck!
/root/brats2026/envs/g1_diffusion_v3/lib/python3.12/site-packages/torch/_dynamo/variables/functions.py:1692: UserWarning: Dynamo detected a call to a `functools.lru_cache`-wrapped function. Dynamo ignores the cache wrapper and directly traces the wrapped function. Silent incorrectness is only a *potential* risk, not something we have observed. Enable TORCH_LOGS="+dynamo" for a DEBUG stack trace.
  torch._dynamo.utils.warn_once(msg)
Step:11/150000, Loss:2.399195, Time:3.4189
Step:12/150000, Loss:2.582083, Time:0.0638
Step:13/150000, Loss:2.149986, Time:0.0663
Step:14/150000, Loss:1.725421, Time:0.0655
Step:15/150000, Loss:2.172662, Time:0.0626
Step:16/150000, Loss:1.953019, Time:0.0668
Step:17/150000, Loss:3.318563, Time:0.0656
Step:18/150000, Loss:1.975733, Time:0.0635
Step:19/150000, Loss:2.303001, Time:0.0629
Step:20/150000, Loss:1.045642, Time:0.0685
Step:21/150000, Loss:1.212333, Time:0.0685
Step:22/150000, Loss:2.414021, Time:0.0649
Step:23/150000, Loss:1.654248, Time:0.0639
Step:24/150000, Loss:1.587299, Time:0.0652
Step:25/150000, Loss:2.400044, Time:0.0655
Step:26/150000, Loss:2.983718, Time:0.0653
Step:27/150000, Loss:0.981550, Time:0.0663
Step:28/150000, Loss:1.274834, Time:0.0649
Step:29/150000, Loss:2.596155, Time:0.0644
Step:30/150000, Loss:1.467976, Time:0.0662
Step:31/150000, Loss:0.946999, Time:0.0641
Step:32/150000, Loss:0.740280, Time:0.0674
Step:33/150000, Loss:0.904073, Time:0.0641
Step:34/150000, Loss:0.966147, Time:0.0643
Step:35/150000, Loss:1.276589, Time:0.0675
Step:36/150000, Loss:1.408046, Time:0.0659
Step:37/150000, Loss:1.624002, Time:0.0645
Step:38/150000, Loss:0.614905, Time:0.0631
Step:39/150000, Loss:1.491856, Time:0.0631
Step:40/150000, Loss:1.586924, Time:0.0622
Step:41/150000, Loss:1.051807, Time:0.0631
Step:42/150000, Loss:0.889792, Time:0.0641
Step:43/150000, Loss:1.981704, Time:0.0661
Step:44/150000, Loss:1.764331, Time:0.0660
Step:45/150000, Loss:1.850541, Time:0.0650
Step:46/150000, Loss:1.466366, Time:0.0654
Step:47/150000, Loss:1.612889, Time:0.0657
Step:48/150000, Loss:1.828485, Time:0.0709
Step:49/150000, Loss:0.768598, Time:0.0696
Step:50/150000, Loss:0.581401, Time:0.0666
Step:51/150000, Loss:0.846038, Time:0.0645
Step:52/150000, Loss:1.148334, Time:0.0640
Step:53/150000, Loss:1.379071, Time:0.0677
Step:54/150000, Loss:0.653835, Time:0.0684
Step:55/150000, Loss:0.745443, Time:0.0645
Step:56/150000, Loss:1.357026, Time:0.0647
Step:57/150000, Loss:0.898675, Time:0.0641
Step:58/150000, Loss:0.624591, Time:0.0636
Step:59/150000, Loss:1.072143, Time:0.0644
Step:60/150000, Loss:1.240431, Time:0.0773
Step:61/150000, Loss:1.421319, Time:0.0820
Step:62/150000, Loss:0.839687, Time:0.0956
Step:63/150000, Loss:0.825333, Time:0.0659
Step:64/150000, Loss:0.784045, Time:0.0688
Step:65/150000, Loss:1.298527, Time:0.0685
Step:66/150000, Loss:0.859010, Time:0.0704
Step:67/150000, Loss:0.795096, Time:0.0708
Step:68/150000, Loss:1.048959, Time:0.0752
Step:69/150000, Loss:0.656104, Time:0.0700
Step:70/150000, Loss:0.472308, Time:0.0698
Step:71/150000, Loss:0.896957, Time:0.0641
Step:72/150000, Loss:0.373005, Time:0.0648
Step:73/150000, Loss:0.846627, Time:0.0649
Step:74/150000, Loss:0.864983, Time:0.0653
Step:75/150000, Loss:0.823629, Time:0.0672
Step:76/150000, Loss:1.464911, Time:0.0626
Step:77/150000, Loss:0.944683, Time:0.0619
Step:78/150000, Loss:0.612202, Time:0.0626
Step:79/150000, Loss:0.728782, Time:0.0635
Step:80/150000, Loss:0.685119, Time:0.0630
Step:81/150000, Loss:0.395161, Time:0.0714
Step:82/150000, Loss:0.515004, Time:0.0666
Step:83/150000, Loss:0.710197, Time:0.0664
Step:84/150000, Loss:0.926778, Time:0.0692
Step:85/150000, Loss:0.430128, Time:0.0626
Step:86/150000, Loss:0.353162, Time:0.0690
Step:87/150000, Loss:0.835184, Time:0.0716
Step:88/150000, Loss:0.789616, Time:0.0702
Step:89/150000, Loss:0.701199, Time:0.0648
Step:90/150000, Loss:0.789986, Time:0.0651
Step:91/150000, Loss:0.498115, Time:0.0641
Step:92/150000, Loss:1.104859, Time:0.0632
Step:93/150000, Loss:0.688498, Time:0.0825
Step:94/150000, Loss:0.287356, Time:0.0717
Step:95/150000, Loss:0.480386, Time:0.0713
Step:96/150000, Loss:0.858005, Time:0.0717
Step:97/150000, Loss:0.711605, Time:0.0723
Step:98/150000, Loss:0.693231, Time:0.0770
Step:99/150000, Loss:0.489814, Time:0.0659
Step:100/150000, Loss:0.527035, Time:0.0643
Step:101/150000, Loss:0.367041, Time:0.0660
Step:102/150000, Loss:0.381627, Time:0.0661
Step:103/150000, Loss:0.567636, Time:0.0656
Step:104/150000, Loss:0.278658, Time:0.1161
Step:105/150000, Loss:0.550120, Time:0.0653
Step:106/150000, Loss:0.494046, Time:0.0643
Step:107/150000, Loss:0.283474, Time:0.0704
Step:108/150000, Loss:0.232841, Time:0.0692
Step:109/150000, Loss:0.748200, Time:0.0669
Step:110/150000, Loss:0.379932, Time:0.0634
Step:111/150000, Loss:0.199368, Time:0.0678
Step:112/150000, Loss:0.424587, Time:0.0672
Step:113/150000, Loss:0.381701, Time:0.0669
Step:114/150000, Loss:0.408427, Time:0.0667
Step:115/150000, Loss:0.721022, Time:0.0660
Step:116/150000, Loss:0.370831, Time:0.0664
Step:117/150000, Loss:0.417037, Time:0.0639
Step:118/150000, Loss:0.439265, Time:0.0737
Step:119/150000, Loss:0.404346, Time:0.0723
Step:120/150000, Loss:0.450503, Time:0.0707
Step:121/150000, Loss:0.320514, Time:0.1141
Step:122/150000, Loss:0.192933, Time:0.0651
Step:123/150000, Loss:0.453614, Time:0.0638
Step:124/150000, Loss:0.312595, Time:0.0670
Step:125/150000, Loss:0.362061, Time:0.0648
Step:126/150000, Loss:0.824871, Time:0.1007
Step:127/150000, Loss:0.387513, Time:0.0753
Step:128/150000, Loss:0.349091, Time:0.0725
Step:129/150000, Loss:0.439895, Time:0.0653
Step:130/150000, Loss:0.490613, Time:0.0685
Step:131/150000, Loss:0.304505, Time:0.0683
