AUTO_RESUME modality=t2w step=112624
TRAIN_MODALITY_START modality=t2w target=150000 gpu=0
Command: /root/brats2026/envs/g1_diffusion_v3/bin/python src/train/tumour_main_diffusion.py --dataset BRATS_2024 --modality t2w --logdir brats2026_diffusion_v3_edm_zscore --checkpoint_root /root/brats2026/runs/g1_diffusion_v3/checkpoints --csv_path /root/brats2026/runs/g1_diffusion_v3/splits/current/lesions.csv --split train --batch_size 8 --loader_workers 16 --generator_type Unet_NnU --network_channels 48\,96\,192\,384 --network_strides 2\,2\,2 --crop_size 64 --small_lesion_weight 3.0 --small_lesion_threshold 27.0 --small_lesion_clamp 1.0 --patient_balance_mode sqrt --num_steps 150000 --checkpoint_interval 5000 --keep_last_checkpoints 6 --n_steps 1000 --noise_schedule edm --normalization zscore --sigma_data 1.0 --use_compile --resume_iter 112624
## ALL dirs set ##
[Auto] in_channels=5 (detected from BRATS_2024)
[Schedule] edm, embedding_mode=continuous
Using TimeConditionedUNet_NnU (Diffusion + nnU-Net planner)
[Unet_NnU] Using ContinuousNoiseEmbedding (EDM / logsnr mode)
  time_ch_count=8
Using TimeConditionedUNet_NnU (Diffusion + nnU-Net planner)
[Unet_NnU] GPU=79.2GB | channels=(48, 96, 192, 384) strides=(2, 2, 2) | suggested_batch=39
[Optimization] torch.compile enabled for model
Loading model from /root/brats2026/runs/g1_diffusion_v3/checkpoints/brats2026_diffusion_v3_edm_zscore
Pre-trained weights loaded. Resuming from epoch 137, step 112624
CSV_PATH: /root/brats2026/runs/g1_diffusion_v3/splits/current/lesions.csv
Scan Modality: scan_t2w
CSV split: train
Normalization: zscore
Using dataset: BRATS_2024
Using Gaussian noise only in the tumour zone
Number of train lesion crops: 6669
Dataset training: number of batches: 834
Leaving the data loader. Good luck!
/root/brats2026/envs/g1_diffusion_v3/lib/python3.12/site-packages/torch/_dynamo/variables/functions.py:1692: UserWarning: Dynamo detected a call to a `functools.lru_cache`-wrapped function. Dynamo ignores the cache wrapper and directly traces the wrapped function. Silent incorrectness is only a *potential* risk, not something we have observed. Enable TORCH_LOGS="+dynamo" for a DEBUG stack trace.
  torch._dynamo.utils.warn_once(msg)
Step:112625/150000, Loss:0.110677, Time:3.8383
Step:112626/150000, Loss:0.176335, Time:0.0720
Step:112627/150000, Loss:0.086210, Time:0.0699
Step:112628/150000, Loss:0.068621, Time:0.0679
Step:112629/150000, Loss:0.096179, Time:0.0646
Step:112630/150000, Loss:0.086344, Time:0.0644
Step:112631/150000, Loss:0.037440, Time:0.0699
Step:112632/150000, Loss:0.066473, Time:0.0691
Step:112633/150000, Loss:0.138935, Time:0.0676
Step:112634/150000, Loss:0.085576, Time:0.0650
Step:112635/150000, Loss:0.055287, Time:0.0632
Step:112636/150000, Loss:0.313985, Time:0.0634
Step:112637/150000, Loss:0.063158, Time:0.0633
Step:112638/150000, Loss:0.073690, Time:0.0653
Step:112639/150000, Loss:0.077240, Time:0.0681
Step:112640/150000, Loss:0.127114, Time:0.0669
Step:112641/150000, Loss:0.035854, Time:0.0670
Step:112642/150000, Loss:0.123320, Time:0.0741
Step:112643/150000, Loss:0.056996, Time:0.0641
Step:112644/150000, Loss:0.081728, Time:0.0631
Step:112645/150000, Loss:0.051416, Time:0.0680
Step:112646/150000, Loss:0.058811, Time:0.0663
Step:112647/150000, Loss:0.099124, Time:0.0635
Step:112648/150000, Loss:0.077526, Time:0.0664
Step:112649/150000, Loss:0.050208, Time:0.0698
Step:112650/150000, Loss:0.035702, Time:0.0708
Step:112651/150000, Loss:0.112830, Time:0.0698
Step:112652/150000, Loss:0.044138, Time:0.0676
Step:112653/150000, Loss:0.059967, Time:0.0699
Step:112654/150000, Loss:0.021170, Time:0.0676
Step:112655/150000, Loss:0.030716, Time:0.0708
Step:112656/150000, Loss:0.075497, Time:0.0699
Step:112657/150000, Loss:0.058304, Time:0.0668
Step:112658/150000, Loss:0.043867, Time:0.0664
Step:112659/150000, Loss:0.105204, Time:0.1005
Step:112660/150000, Loss:0.047984, Time:0.0705
Step:112661/150000, Loss:0.068849, Time:0.0651
Step:112662/150000, Loss:0.055427, Time:0.0702
Step:112663/150000, Loss:0.077413, Time:0.0681
Step:112664/150000, Loss:0.063062, Time:0.0685
Step:112665/150000, Loss:0.090395, Time:0.0683
Step:112666/150000, Loss:0.058272, Time:0.0723
Step:112667/150000, Loss:0.060335, Time:0.0710
Step:112668/150000, Loss:0.042933, Time:0.0692
Step:112669/150000, Loss:0.103645, Time:0.0670
Step:112670/150000, Loss:0.066133, Time:0.0671
Step:112671/150000, Loss:0.056966, Time:0.0668
Step:112672/150000, Loss:0.055589, Time:0.0686
Step:112673/150000, Loss:0.056052, Time:0.0685
Step:112674/150000, Loss:0.078990, Time:0.0684
Step:112675/150000, Loss:0.102495, Time:0.1203
Step:112676/150000, Loss:0.078698, Time:0.0754
Step:112677/150000, Loss:0.081489, Time:0.0646
Step:112678/150000, Loss:0.051970, Time:0.0649
Step:112679/150000, Loss:0.061345, Time:0.0681
Step:112680/150000, Loss:0.139679, Time:0.0664
Step:112681/150000, Loss:0.068800, Time:0.0716
Step:112682/150000, Loss:0.035511, Time:0.0697
Step:112683/150000, Loss:0.047485, Time:0.0703
Step:112684/150000, Loss:0.028907, Time:0.0724
Step:112685/150000, Loss:0.111312, Time:0.0707
Step:112686/150000, Loss:0.099773, Time:0.0713
Step:112687/150000, Loss:0.062714, Time:0.0875
Step:112688/150000, Loss:0.046858, Time:0.0657
Step:112689/150000, Loss:0.209296, Time:0.0647
Step:112690/150000, Loss:0.028233, Time:0.0707
Step:112691/150000, Loss:0.037635, Time:0.0691
Step:112692/150000, Loss:0.046726, Time:0.0664
Step:112693/150000, Loss:0.048452, Time:0.0657
Step:112694/150000, Loss:0.048843, Time:0.0692
Step:112695/150000, Loss:0.059791, Time:0.0681
Step:112696/150000, Loss:0.055969, Time:0.0679
Step:112697/150000, Loss:0.070430, Time:0.0648
Step:112698/150000, Loss:0.117314, Time:0.0645
Step:112699/150000, Loss:0.034957, Time:0.0646
Step:112700/150000, Loss:0.099749, Time:0.0681
Step:112701/150000, Loss:0.202582, Time:0.0688
Step:112702/150000, Loss:0.096993, Time:0.0673
Step:112703/150000, Loss:0.089299, Time:0.0668
Step:112704/150000, Loss:0.050668, Time:0.0647
Step:112705/150000, Loss:0.123287, Time:0.0804
Step:112706/150000, Loss:0.050243, Time:0.0667
Step:112707/150000, Loss:0.091025, Time:0.0693
Step:112708/150000, Loss:0.072436, Time:0.0650
Step:112709/150000, Loss:0.092051, Time:0.0738
Step:112710/150000, Loss:0.075501, Time:0.0679
Step:112711/150000, Loss:0.076352, Time:0.0656
Step:112712/150000, Loss:0.095031, Time:0.0689
Step:112713/150000, Loss:0.095050, Time:0.0643
Step:112714/150000, Loss:0.040024, Time:0.0630
Step:112715/150000, Loss:0.101295, Time:0.0697
Step:112716/150000, Loss:0.074146, Time:0.0686
Step:112717/150000, Loss:0.047020, Time:0.0682
Step:112718/150000, Loss:0.045333, Time:0.0681
Step:112719/150000, Loss:0.049449, Time:0.0684
Step:112720/150000, Loss:0.054633, Time:0.0648
Step:112721/150000, Loss:0.106520, Time:0.0648
Step:112722/150000, Loss:0.065936, Time:0.0662
Step:112723/150000, Loss:0.049350, Time:0.0645
Step:112724/150000, Loss:0.095014, Time:0.0628
Step:112725/150000, Loss:0.083918, Time:0.0643
Step:112726/150000, Loss:0.046649, Time:0.0639
Step:112727/150000, Loss:0.154845, Time:0.0650
Step:112728/150000, Loss:0.062298, Time:0.0670
Step:112729/150000, Loss:0.172451, Time:0.0674
Step:112730/150000, Loss:0.039917, Time:0.0678
Step:112731/150000, Loss:0.077551, Time:0.0662
Step:112732/150000, Loss:0.045775, Time:0.0646
Step:112733/150000, Loss:0.028176, Time:0.0745
Step:112734/150000, Loss:0.084494, Time:0.0636
Step:112735/150000, Loss:0.133331, Time:0.0680
Step:112736/150000, Loss:0.058189, Time:0.0710
Step:112737/150000, Loss:0.045719, Time:0.0700
Step:112738/150000, Loss:0.133673, Time:0.0693
Step:112739/150000, Loss:0.130812, Time:0.0687
Step:112740/150000, Loss:0.080336, Time:0.0690
Step:112741/150000, Loss:0.061153, Time:0.0667
Step:112742/150000, Loss:0.096889, Time:0.0697
Step:112743/150000, Loss:0.088428, Time:0.0678
Step:112744/150000, Loss:0.041519, Time:0.0682
Step:112745/150000, Loss:0.066549, Time:0.0642
Step:112746/150000, Loss:0.035087, Time:0.0700
Step:112747/150000, Loss:0.205384, Time:0.0673
Step:112748/150000, Loss:0.192511, Time:0.0635
Step:112749/150000, Loss:0.083753, Time:0.0641
Step:112750/150000, Loss:0.033344, Time:0.0639
Step:112751/150000, Loss:0.058741, Time:0.0628
Step:112752/150000, Loss:0.066674, Time:0.0626
Step:112753/150000, Loss:0.084757, Time:0.0633
Step:112754/150000, Loss:0.073661, Time:0.0631
Step:112755/150000, Loss:0.150769, Time:0.0630
Step:112756/150000, Loss:0.152462, Time:0.0649
Step:112757/150000, Loss:0.128765, Time:0.1205
Step:112758/150000, Loss:0.096265, Time:0.1145
Step:112759/150000, Loss:0.072807, Time:0.0701
Step:112760/150000, Loss:0.045854, Time:0.0696
Step:112761/150000, Loss:0.159077, Time:0.0650
Step:112762/150000, Loss:0.065009, Time:0.0748
Step:112763/150000, Loss:0.089637, Time:0.0659
Step:112764/150000, Loss:0.154071, Time:0.0643
Step:112765/150000, Loss:0.171504, Time:0.0646
Step:112766/150000, Loss:0.062115, Time:0.0662
Step:112767/150000, Loss:0.059273, Time:0.0648
Step:112768/150000, Loss:0.093328, Time:0.0646
Step:112769/150000, Loss:0.116438, Time:0.0655
Step:112770/150000, Loss:0.055595, Time:0.0658
Step:112771/150000, Loss:0.023166, Time:0.0693
Step:112772/150000, Loss:0.053530, Time:0.0646
Step:112773/150000, Loss:0.101853, Time:0.0695
Step:112774/150000, Loss:0.112558, Time:0.0678
