AUTO_RESUME modality=t1c step=270
TRAIN_MODALITY_START modality=t1c target=150000 gpu=0
Command: /root/brats2026/envs/g1_diffusion_v3/bin/python src/train/tumour_main_diffusion.py --dataset BRATS_2024 --modality t1c --logdir brats2026_diffusion_v3_edm_zscore --checkpoint_root /root/brats2026/runs/g1_diffusion_v3/checkpoints --csv_path /root/brats2026/runs/g1_diffusion_v3/splits/current/lesions.csv --split train --batch_size 8 --loader_workers 16 --generator_type Unet_NnU --network_channels 48\,96\,192\,384 --network_strides 2\,2\,2 --crop_size 64 --small_lesion_weight 3.0 --small_lesion_threshold 27.0 --small_lesion_clamp 1.0 --patient_balance_mode sqrt --num_steps 150000 --checkpoint_interval 5000 --keep_last_checkpoints 6 --n_steps 1000 --noise_schedule edm --normalization zscore --sigma_data 1.0 --use_compile --resume_iter 270
## ALL dirs set ##
[Auto] in_channels=5 (detected from BRATS_2024)
[Schedule] edm, embedding_mode=continuous
Using TimeConditionedUNet_NnU (Diffusion + nnU-Net planner)
[Unet_NnU] Using ContinuousNoiseEmbedding (EDM / logsnr mode)
  time_ch_count=8
Using TimeConditionedUNet_NnU (Diffusion + nnU-Net planner)
[Unet_NnU] GPU=79.4GB | channels=(48, 96, 192, 384) strides=(2, 2, 2) | suggested_batch=39
[Optimization] torch.compile enabled for model
Loading model from /root/brats2026/runs/g1_diffusion_v3/checkpoints/brats2026_diffusion_v3_edm_zscore
Pre-trained weights loaded. Resuming from epoch 4, step 270
CSV_PATH: /root/brats2026/runs/g1_diffusion_v3/splits/current/lesions.csv
Scan Modality: scan_t1c
CSV split: train
Normalization: zscore
Using dataset: BRATS_2024
Using Gaussian noise only in the tumour zone
Number of train lesion crops: 6669
Dataset training: number of batches: 834
Leaving the data loader. Good luck!
/root/brats2026/envs/g1_diffusion_v3/lib/python3.12/site-packages/torch/_dynamo/variables/functions.py:1692: UserWarning: Dynamo detected a call to a `functools.lru_cache`-wrapped function. Dynamo ignores the cache wrapper and directly traces the wrapped function. Silent incorrectness is only a *potential* risk, not something we have observed. Enable TORCH_LOGS="+dynamo" for a DEBUG stack trace.
  torch._dynamo.utils.warn_once(msg)
Step:271/150000, Loss:0.266088, Time:5.5387
Step:272/150000, Loss:0.382738, Time:0.0779
Step:273/150000, Loss:0.422402, Time:0.0698
Step:274/150000, Loss:0.554034, Time:0.0731
Step:275/150000, Loss:0.289955, Time:0.0825
Step:276/150000, Loss:0.263992, Time:0.0794
Step:277/150000, Loss:0.455380, Time:0.0768
Step:278/150000, Loss:0.284402, Time:0.0708
Step:279/150000, Loss:0.268641, Time:0.0714
Step:280/150000, Loss:0.402201, Time:0.0725
Step:281/150000, Loss:0.265938, Time:0.0716
Step:282/150000, Loss:0.408532, Time:0.0716
Step:283/150000, Loss:0.480259, Time:0.0736
Step:284/150000, Loss:0.366439, Time:0.0740
Step:285/150000, Loss:0.227360, Time:0.0743
Step:286/150000, Loss:0.304415, Time:0.0731
Step:287/150000, Loss:0.301246, Time:0.0718
Step:288/150000, Loss:0.459684, Time:0.0800
Step:289/150000, Loss:0.396700, Time:0.0705
Step:290/150000, Loss:0.530884, Time:0.0718
Step:291/150000, Loss:0.442150, Time:0.0717
Step:292/150000, Loss:0.389872, Time:0.0696
Step:293/150000, Loss:0.272360, Time:0.0683
Step:294/150000, Loss:0.302873, Time:0.0727
Step:295/150000, Loss:0.237613, Time:0.0741
Step:296/150000, Loss:0.177087, Time:0.0701
Step:297/150000, Loss:0.315956, Time:0.0726
Step:298/150000, Loss:0.399638, Time:0.0704
Step:299/150000, Loss:0.287534, Time:0.0723
Step:300/150000, Loss:0.604611, Time:0.0727
Step:301/150000, Loss:0.352852, Time:0.0743
Step:302/150000, Loss:0.294677, Time:0.0746
Step:303/150000, Loss:0.428807, Time:0.0727
Step:304/150000, Loss:0.241114, Time:0.0761
Step:305/150000, Loss:0.637331, Time:0.0688
Step:306/150000, Loss:0.363979, Time:0.0685
Step:307/150000, Loss:0.354046, Time:0.0729
Step:308/150000, Loss:0.477808, Time:0.0678
Step:309/150000, Loss:0.250287, Time:0.0656
Step:310/150000, Loss:0.368511, Time:0.0743
Step:311/150000, Loss:0.471955, Time:0.0764
Step:312/150000, Loss:0.432030, Time:0.0668
Step:313/150000, Loss:0.412569, Time:0.1050
Step:314/150000, Loss:0.515315, Time:0.0996
Step:315/150000, Loss:0.324409, Time:0.0760
Step:316/150000, Loss:0.237410, Time:0.0841
Step:317/150000, Loss:0.423976, Time:0.0718
Step:318/150000, Loss:0.239978, Time:0.0702
Step:319/150000, Loss:0.242362, Time:0.0725
Step:320/150000, Loss:0.283872, Time:0.0762
Step:321/150000, Loss:0.194850, Time:0.0731
Step:322/150000, Loss:0.524395, Time:0.0725
Step:323/150000, Loss:0.323531, Time:0.0711
Step:324/150000, Loss:0.225445, Time:0.0720
Step:325/150000, Loss:0.535107, Time:0.0748
Step:326/150000, Loss:0.644201, Time:0.0739
Step:327/150000, Loss:0.785244, Time:0.0734
Step:328/150000, Loss:0.303345, Time:0.0693
Step:329/150000, Loss:0.493411, Time:0.0661
Step:330/150000, Loss:0.369203, Time:0.0650
Step:331/150000, Loss:0.246407, Time:0.0673
Step:332/150000, Loss:0.451078, Time:0.0746
Step:333/150000, Loss:0.304474, Time:0.0663
Step:334/150000, Loss:0.426468, Time:0.0666
Step:335/150000, Loss:0.229075, Time:0.0668
Step:336/150000, Loss:0.242290, Time:0.0756
Step:337/150000, Loss:0.204799, Time:0.0772
Step:338/150000, Loss:0.272769, Time:0.1105
Step:339/150000, Loss:0.205106, Time:0.0894
Step:340/150000, Loss:0.383312, Time:0.0746
Step:341/150000, Loss:0.273927, Time:0.0737
Step:342/150000, Loss:0.168002, Time:0.0926
Step:343/150000, Loss:0.345225, Time:0.0953
Step:344/150000, Loss:0.450927, Time:0.0731
Step:345/150000, Loss:0.480595, Time:0.0704
Step:346/150000, Loss:0.667847, Time:0.0737
Step:347/150000, Loss:0.364106, Time:0.0775
Step:348/150000, Loss:0.276758, Time:0.0709
Step:349/150000, Loss:0.312793, Time:0.0726
Step:350/150000, Loss:0.339926, Time:0.0715
Step:351/150000, Loss:0.398809, Time:0.0835
Step:352/150000, Loss:0.375972, Time:0.0706
Step:353/150000, Loss:0.416227, Time:0.0842
Step:354/150000, Loss:0.398773, Time:0.0734
Step:355/150000, Loss:0.314739, Time:0.0747
Step:356/150000, Loss:0.370794, Time:0.0733
Step:357/150000, Loss:0.370047, Time:0.0728
Step:358/150000, Loss:0.386606, Time:0.0761
Step:359/150000, Loss:0.410493, Time:0.0729
Step:360/150000, Loss:0.407883, Time:0.0752
Step:361/150000, Loss:0.342427, Time:0.0757
Step:362/150000, Loss:0.277586, Time:0.0720
Step:363/150000, Loss:0.242453, Time:0.0746
Step:364/150000, Loss:0.433670, Time:0.0771
Step:365/150000, Loss:0.291346, Time:0.0732
Step:366/150000, Loss:0.297777, Time:0.0741
Step:367/150000, Loss:0.324975, Time:0.0718
Step:368/150000, Loss:0.214548, Time:0.0739
Step:369/150000, Loss:0.229015, Time:0.0720
Step:370/150000, Loss:0.269976, Time:0.0717
Step:371/150000, Loss:0.226052, Time:0.0734
Step:372/150000, Loss:0.210677, Time:0.0783
Step:373/150000, Loss:0.234217, Time:0.0741
Step:374/150000, Loss:0.185023, Time:0.0755
Step:375/150000, Loss:0.561026, Time:0.0757
Step:376/150000, Loss:0.373117, Time:0.0729
Step:377/150000, Loss:0.254296, Time:0.0708
Step:378/150000, Loss:0.282517, Time:0.0718
Step:379/150000, Loss:0.213438, Time:0.0711
Step:380/150000, Loss:0.451559, Time:0.0721
Step:381/150000, Loss:0.333003, Time:0.0720
Step:382/150000, Loss:0.312025, Time:0.0731
Step:383/150000, Loss:0.236022, Time:0.0729
Step:384/150000, Loss:0.376342, Time:0.0910
Step:385/150000, Loss:0.403150, Time:0.0717
Step:386/150000, Loss:0.282947, Time:0.0756
Step:387/150000, Loss:0.277997, Time:0.0742
