AUTO_RESUME modality=t1c step=96275
TRAIN_MODALITY_START modality=t1c target=150000 gpu=0
Command: /root/brats2026/envs/g1_diffusion_v3/bin/python src/train/tumour_main_diffusion.py --dataset BRATS_2024 --modality t1c --logdir brats2026_diffusion_v3_edm_zscore --checkpoint_root /root/brats2026/runs/g1_diffusion_v3/checkpoints --csv_path /root/brats2026/runs/g1_diffusion_v3/splits/current/lesions.csv --split train --batch_size 8 --loader_workers 16 --generator_type Unet_NnU --network_channels 48\,96\,192\,384 --network_strides 2\,2\,2 --crop_size 64 --small_lesion_weight 3.0 --small_lesion_threshold 27.0 --small_lesion_clamp 1.0 --patient_balance_mode sqrt --num_steps 150000 --checkpoint_interval 5000 --keep_last_checkpoints 6 --n_steps 1000 --noise_schedule edm --normalization zscore --sigma_data 1.0 --use_compile --resume_iter 96275
## ALL dirs set ##
[Auto] in_channels=5 (detected from BRATS_2024)
[Schedule] edm, embedding_mode=continuous
Using TimeConditionedUNet_NnU (Diffusion + nnU-Net planner)
[Unet_NnU] Using ContinuousNoiseEmbedding (EDM / logsnr mode)
  time_ch_count=8
Using TimeConditionedUNet_NnU (Diffusion + nnU-Net planner)
[Unet_NnU] GPU=79.4GB | channels=(48, 96, 192, 384) strides=(2, 2, 2) | suggested_batch=39
[Optimization] torch.compile enabled for model
Loading model from /root/brats2026/runs/g1_diffusion_v3/checkpoints/brats2026_diffusion_v3_edm_zscore
Pre-trained weights loaded. Resuming from epoch 120, step 96275
CSV_PATH: /root/brats2026/runs/g1_diffusion_v3/splits/current/lesions.csv
Scan Modality: scan_t1c
CSV split: train
Normalization: zscore
Using dataset: BRATS_2024
Using Gaussian noise only in the tumour zone
Number of train lesion crops: 6669
Dataset training: number of batches: 834
Leaving the data loader. Good luck!
/root/brats2026/envs/g1_diffusion_v3/lib/python3.12/site-packages/torch/_dynamo/variables/functions.py:1692: UserWarning: Dynamo detected a call to a `functools.lru_cache`-wrapped function. Dynamo ignores the cache wrapper and directly traces the wrapped function. Silent incorrectness is only a *potential* risk, not something we have observed. Enable TORCH_LOGS="+dynamo" for a DEBUG stack trace.
  torch._dynamo.utils.warn_once(msg)
Step:96276/150000, Loss:0.094733, Time:4.4206
Step:96277/150000, Loss:0.157582, Time:0.0721
Step:96278/150000, Loss:0.086597, Time:0.0709
Step:96279/150000, Loss:0.113880, Time:0.0692
Step:96280/150000, Loss:0.175234, Time:0.1042
Step:96281/150000, Loss:0.070446, Time:0.0663
Step:96282/150000, Loss:0.069837, Time:0.0750
Step:96283/150000, Loss:0.147968, Time:0.0659
Step:96284/150000, Loss:0.173032, Time:0.0691
Step:96285/150000, Loss:0.073499, Time:0.0709
Step:96286/150000, Loss:0.126875, Time:0.0706
Step:96287/150000, Loss:0.147547, Time:0.0666
Step:96288/150000, Loss:0.136557, Time:0.0648
Step:96289/150000, Loss:0.074377, Time:0.0646
Step:96290/150000, Loss:0.064476, Time:0.0668
Step:96291/150000, Loss:0.079886, Time:0.0679
Step:96292/150000, Loss:0.105889, Time:0.0750
Step:96293/150000, Loss:0.095642, Time:0.0699
Step:96294/150000, Loss:0.136886, Time:0.0723
Step:96295/150000, Loss:0.139945, Time:0.0706
Step:96296/150000, Loss:0.048882, Time:0.0708
Step:96297/150000, Loss:0.106959, Time:0.0731
Step:96298/150000, Loss:0.130807, Time:0.0711
Step:96299/150000, Loss:0.206216, Time:0.0690
Step:96300/150000, Loss:0.075560, Time:0.0766
Step:96301/150000, Loss:0.181866, Time:0.0721
Step:96302/150000, Loss:0.266079, Time:0.0705
Step:96303/150000, Loss:0.082873, Time:0.0819
Step:96304/150000, Loss:0.136927, Time:0.0756
Step:96305/150000, Loss:0.203171, Time:0.0649
Step:96306/150000, Loss:0.128885, Time:0.0664
Step:96307/150000, Loss:0.093633, Time:0.0664
Step:96308/150000, Loss:0.058594, Time:0.0655
Step:96309/150000, Loss:0.164499, Time:0.0715
Step:96310/150000, Loss:0.115949, Time:0.0740
Step:96311/150000, Loss:0.140003, Time:0.0758
Step:96312/150000, Loss:0.138208, Time:0.0777
Step:96313/150000, Loss:0.170159, Time:0.0728
Step:96314/150000, Loss:0.114218, Time:0.0730
Step:96315/150000, Loss:0.130871, Time:0.0726
Step:96316/150000, Loss:0.136370, Time:0.0675
Step:96317/150000, Loss:0.156265, Time:0.0731
Step:96318/150000, Loss:0.146572, Time:0.0709
