AUTO_RESUME modality=t2f step=96626
TRAIN_MODALITY_START modality=t2f target=150000 gpu=1
Command: /root/brats2026/envs/g1_diffusion_v3/bin/python src/train/tumour_main_diffusion.py --dataset BRATS_2024 --modality t2f --logdir brats2026_diffusion_v3_edm_zscore --checkpoint_root /root/brats2026/runs/g1_diffusion_v3/checkpoints --csv_path /root/brats2026/runs/g1_diffusion_v3/splits/current/lesions.csv --split train --batch_size 8 --loader_workers 16 --generator_type Unet_NnU --network_channels 48\,96\,192\,384 --network_strides 2\,2\,2 --crop_size 64 --small_lesion_weight 3.0 --small_lesion_threshold 27.0 --small_lesion_clamp 1.0 --patient_balance_mode sqrt --num_steps 150000 --checkpoint_interval 5000 --keep_last_checkpoints 6 --n_steps 1000 --noise_schedule edm --normalization zscore --sigma_data 1.0 --use_compile --resume_iter 96626
## ALL dirs set ##
[Auto] in_channels=5 (detected from BRATS_2024)
[Schedule] edm, embedding_mode=continuous
Using TimeConditionedUNet_NnU (Diffusion + nnU-Net planner)
[Unet_NnU] Using ContinuousNoiseEmbedding (EDM / logsnr mode)
  time_ch_count=8
Using TimeConditionedUNet_NnU (Diffusion + nnU-Net planner)
[Unet_NnU] GPU=79.4GB | channels=(48, 96, 192, 384) strides=(2, 2, 2) | suggested_batch=39
[Optimization] torch.compile enabled for model
Loading model from /root/brats2026/runs/g1_diffusion_v3/checkpoints/brats2026_diffusion_v3_edm_zscore
Pre-trained weights loaded. Resuming from epoch 118, step 96626
CSV_PATH: /root/brats2026/runs/g1_diffusion_v3/splits/current/lesions.csv
Scan Modality: scan_t2f
CSV split: train
Normalization: zscore
Using dataset: BRATS_2024
Using Gaussian noise only in the tumour zone
Number of train lesion crops: 6669
Dataset training: number of batches: 834
Leaving the data loader. Good luck!
/root/brats2026/envs/g1_diffusion_v3/lib/python3.12/site-packages/torch/_dynamo/variables/functions.py:1692: UserWarning: Dynamo detected a call to a `functools.lru_cache`-wrapped function. Dynamo ignores the cache wrapper and directly traces the wrapped function. Silent incorrectness is only a *potential* risk, not something we have observed. Enable TORCH_LOGS="+dynamo" for a DEBUG stack trace.
  torch._dynamo.utils.warn_once(msg)
Step:96627/150000, Loss:0.034080, Time:3.9591
Step:96628/150000, Loss:0.026351, Time:0.0739
Step:96629/150000, Loss:0.087109, Time:0.0708
Step:96630/150000, Loss:0.044950, Time:0.0686
Step:96631/150000, Loss:0.028299, Time:0.0737
Step:96632/150000, Loss:0.032354, Time:0.0707
Step:96633/150000, Loss:0.089006, Time:0.0704
Step:96634/150000, Loss:0.073856, Time:0.0705
Step:96635/150000, Loss:0.040411, Time:0.0701
Step:96636/150000, Loss:0.034919, Time:0.0702
Step:96637/150000, Loss:0.053814, Time:0.0687
Step:96638/150000, Loss:0.055370, Time:0.0707
Step:96639/150000, Loss:0.030464, Time:0.0708
Step:96640/150000, Loss:0.115428, Time:0.0718
Step:96641/150000, Loss:0.113381, Time:0.0707
Step:96642/150000, Loss:0.164056, Time:0.0724
Step:96643/150000, Loss:0.046993, Time:0.0699
Step:96644/150000, Loss:0.026282, Time:0.0742
Step:96645/150000, Loss:0.034031, Time:0.0703
Step:96646/150000, Loss:0.056674, Time:0.0701
Step:96647/150000, Loss:0.071189, Time:0.0699
Step:96648/150000, Loss:0.097786, Time:0.0681
Step:96649/150000, Loss:0.137674, Time:0.0688
Step:96650/150000, Loss:0.194900, Time:0.0704
Step:96651/150000, Loss:0.096662, Time:0.0679
Step:96652/150000, Loss:0.023538, Time:0.0712
Step:96653/150000, Loss:0.110610, Time:0.0701
Step:96654/150000, Loss:0.192913, Time:0.0715
Step:96655/150000, Loss:0.051130, Time:0.0964
Step:96656/150000, Loss:0.089535, Time:0.0766
Step:96657/150000, Loss:0.051129, Time:0.0728
Step:96658/150000, Loss:0.119327, Time:0.0762
Step:96659/150000, Loss:0.035450, Time:0.0765
Step:96660/150000, Loss:0.047182, Time:0.0783
Step:96661/150000, Loss:0.072501, Time:0.0752
Step:96662/150000, Loss:0.036015, Time:0.0694
Step:96663/150000, Loss:0.155272, Time:0.0808
Step:96664/150000, Loss:0.097959, Time:0.0717
Step:96665/150000, Loss:0.070856, Time:0.0698
Step:96666/150000, Loss:0.092159, Time:0.0689
Step:96667/150000, Loss:0.037782, Time:0.0688
Step:96668/150000, Loss:0.054708, Time:0.0725
Step:96669/150000, Loss:0.076203, Time:0.0733
Step:96670/150000, Loss:0.066279, Time:0.0748
Step:96671/150000, Loss:0.066254, Time:0.0714
Step:96672/150000, Loss:0.142834, Time:0.0774
Step:96673/150000, Loss:0.114782, Time:0.0738
Step:96674/150000, Loss:0.073515, Time:0.0721
Step:96675/150000, Loss:0.086098, Time:0.0789
Step:96676/150000, Loss:0.149598, Time:0.0744
Step:96677/150000, Loss:0.123691, Time:0.0745
Step:96678/150000, Loss:0.063354, Time:0.0705
Step:96679/150000, Loss:0.096490, Time:0.0723
Step:96680/150000, Loss:0.106002, Time:0.0802
Step:96681/150000, Loss:0.053970, Time:0.0718
Step:96682/150000, Loss:0.077082, Time:0.0715
Step:96683/150000, Loss:0.181160, Time:0.0723
Step:96684/150000, Loss:0.036595, Time:0.0705
Step:96685/150000, Loss:0.107816, Time:0.0709
Step:96686/150000, Loss:0.048161, Time:0.0792
Step:96687/150000, Loss:0.035204, Time:0.0762
Step:96688/150000, Loss:0.037341, Time:0.0702
Step:96689/150000, Loss:0.101555, Time:0.0695
Step:96690/150000, Loss:0.079120, Time:0.0694
Step:96691/150000, Loss:0.082857, Time:0.0699
Step:96692/150000, Loss:0.103494, Time:0.0703
Step:96693/150000, Loss:0.082762, Time:0.0761
