AUTO_RESUME modality=t1n step=442
TRAIN_MODALITY_START modality=t1n target=150000 gpu=0
Command: /root/brats2026/envs/g1_diffusion_v3/bin/python src/train/tumour_main_diffusion.py --dataset BRATS_2024 --modality t1n --logdir brats2026_diffusion_v3_edm_zscore --checkpoint_root /root/brats2026/runs/g1_diffusion_v3/checkpoints --csv_path /root/brats2026/runs/g1_diffusion_v3/splits/current/lesions.csv --split train --batch_size 8 --loader_workers 16 --generator_type Unet_NnU --network_channels 48\,96\,192\,384 --network_strides 2\,2\,2 --crop_size 64 --small_lesion_weight 3.0 --small_lesion_threshold 27.0 --small_lesion_clamp 1.0 --patient_balance_mode sqrt --num_steps 150000 --checkpoint_interval 5000 --keep_last_checkpoints 6 --n_steps 1000 --noise_schedule edm --normalization zscore --sigma_data 1.0 --use_compile --resume_iter 442
## ALL dirs set ##
[Auto] in_channels=5 (detected from BRATS_2024)
[Schedule] edm, embedding_mode=continuous
Using TimeConditionedUNet_NnU (Diffusion + nnU-Net planner)
[Unet_NnU] Using ContinuousNoiseEmbedding (EDM / logsnr mode)
  time_ch_count=8
Using TimeConditionedUNet_NnU (Diffusion + nnU-Net planner)
[Unet_NnU] GPU=95.1GB | channels=(48, 96, 192, 384) strides=(2, 2, 2) | suggested_batch=47
[Optimization] torch.compile enabled for model
Loading model from /root/brats2026/runs/g1_diffusion_v3/checkpoints/brats2026_diffusion_v3_edm_zscore
Pre-trained weights loaded. Resuming from epoch 2, step 442
CSV_PATH: /root/brats2026/runs/g1_diffusion_v3/splits/current/lesions.csv
Scan Modality: scan_t1n
CSV split: train
Normalization: zscore
Using dataset: BRATS_2024
Using Gaussian noise only in the tumour zone
Number of train lesion crops: 6669
Dataset training: number of batches: 834
Leaving the data loader. Good luck!
/root/brats2026/envs/g1_diffusion_v3/lib/python3.12/site-packages/torch/_dynamo/variables/functions.py:1692: UserWarning: Dynamo detected a call to a `functools.lru_cache`-wrapped function. Dynamo ignores the cache wrapper and directly traces the wrapped function. Silent incorrectness is only a *potential* risk, not something we have observed. Enable TORCH_LOGS="+dynamo" for a DEBUG stack trace.
  torch._dynamo.utils.warn_once(msg)
Step:443/150000, Loss:0.302233, Time:3.7493
Step:444/150000, Loss:0.249340, Time:0.0615
Step:445/150000, Loss:0.445926, Time:0.0613
Step:446/150000, Loss:0.249065, Time:0.0585
Step:447/150000, Loss:0.355794, Time:0.0605
Step:448/150000, Loss:0.573151, Time:0.0598
Step:449/150000, Loss:0.296866, Time:0.0596
Step:450/150000, Loss:0.248401, Time:0.0598
Step:451/150000, Loss:0.293291, Time:0.0603
Step:452/150000, Loss:0.414171, Time:0.0599
Step:453/150000, Loss:0.261418, Time:0.0594
Step:454/150000, Loss:0.252476, Time:0.0600
Step:455/150000, Loss:0.299283, Time:0.0593
Step:456/150000, Loss:0.240444, Time:0.0596
Step:457/150000, Loss:0.365685, Time:0.0625
Step:458/150000, Loss:0.191317, Time:0.0611
Step:459/150000, Loss:0.359240, Time:0.0596
Step:460/150000, Loss:0.226021, Time:0.0624
Step:461/150000, Loss:0.340412, Time:0.0624
Step:462/150000, Loss:0.283010, Time:0.0647
Step:463/150000, Loss:0.786900, Time:0.0603
Step:464/150000, Loss:0.262331, Time:0.0596
Step:465/150000, Loss:0.261044, Time:0.0599
Step:466/150000, Loss:0.617829, Time:0.0617
Step:467/150000, Loss:0.242801, Time:0.0679
Step:468/150000, Loss:0.392229, Time:0.0630
Step:469/150000, Loss:0.319254, Time:0.0616
Step:470/150000, Loss:0.181850, Time:0.0626
Step:471/150000, Loss:0.578436, Time:0.0612
Step:472/150000, Loss:0.215918, Time:0.0618
Step:473/150000, Loss:0.250511, Time:0.0642
Step:474/150000, Loss:0.598406, Time:0.0608
Step:475/150000, Loss:0.471384, Time:0.0588
Step:476/150000, Loss:0.267823, Time:0.0629
Step:477/150000, Loss:0.396795, Time:0.0625
Step:478/150000, Loss:0.230157, Time:0.0732
Step:479/150000, Loss:0.431640, Time:0.0604
Step:480/150000, Loss:0.344881, Time:0.0719
Step:481/150000, Loss:0.291695, Time:0.0650
Step:482/150000, Loss:0.279739, Time:0.0641
Step:483/150000, Loss:0.292380, Time:0.0618
Step:484/150000, Loss:0.266734, Time:0.0630
Step:485/150000, Loss:0.380289, Time:0.0654
Step:486/150000, Loss:0.304815, Time:0.0630
Step:487/150000, Loss:0.458254, Time:0.0588
