synthetic_raw_id,source_case_id,label_kind,status,raw_case_dir
BraTS-MET-00554-000,BraTS-MET-00554-000,completion,success,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/data/output/run_3104668/BraTS-MET-00554-000
BraTS-MET-00555-000,BraTS-MET-00555-000,completion,success,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/data/output/run_3104668/BraTS-MET-00555-000
BraTS-MET-00556-000,BraTS-MET-00556-000,completion,success,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/data/output/run_3104668/BraTS-MET-00556-000
BraTS-MET-00558-000,BraTS-MET-00558-000,completion,success,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/data/output/run_3104668/BraTS-MET-00558-000
BraTS-MET-00559-000,BraTS-MET-00559-000,completion,success,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/data/output/run_3104668/BraTS-MET-00559-000
BraTS-MET-00559-001,BraTS-MET-00559-001,completion,success,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/data/output/run_3104668/BraTS-MET-00559-001
BraTS-MET-00559-003,BraTS-MET-00559-003,completion,success,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/data/output/run_3104668/BraTS-MET-00559-003
BraTS-MET-00559-004,BraTS-MET-00559-004,completion,success,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/data/output/run_3104668/BraTS-MET-00559-004
BraTS-MET-00560-000,BraTS-MET-00560-000,completion,success,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/data/output/run_3104668/BraTS-MET-00560-000
BraTS-MET-00561-000,BraTS-MET-00561-000,completion,success,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/data/output/run_3104668/BraTS-MET-00561-000
BraTS-MET-00561-001,BraTS-MET-00561-001,completion,success,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/data/output/run_3104668/BraTS-MET-00561-001
BraTS-MET-00561-002,BraTS-MET-00561-002,completion,success,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/data/output/run_3104668/BraTS-MET-00561-002
BraTS-MET-00562-000,BraTS-MET-00562-000,completion,success,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/data/output/run_3104668/BraTS-MET-00562-000
BraTS-MET-00563-000,BraTS-MET-00563-000,completion,success,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/data/output/run_3104668/BraTS-MET-00563-000
BraTS-MET-00564-000,BraTS-MET-00564-000,completion,success,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/data/output/run_3104668/BraTS-MET-00564-000
BraTS-MET-00565-000,BraTS-MET-00565-000,completion,success,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/data/output/run_3104668/BraTS-MET-00565-000
BraTS-MET-00566-000,BraTS-MET-00566-000,completion,success,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/data/output/run_3104668/BraTS-MET-00566-000
BraTS-MET-00567-000,BraTS-MET-00567-000,completion,success,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/data/output/run_3104668/BraTS-MET-00567-000
BraTS-MET-00568-000,BraTS-MET-00568-000,completion,success,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/data/output/run_3104668/BraTS-MET-00568-000
BraTS-MET-00568-001,BraTS-MET-00568-001,completion,success,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/data/output/run_3104668/BraTS-MET-00568-001
BraTS-MET-00569-000,BraTS-MET-00569-000,completion,success,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/data/output/run_3104668/BraTS-MET-00569-000
BraTS-MET-00569-001,BraTS-MET-00569-001,completion,success,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/data/output/run_3104668/BraTS-MET-00569-001
BraTS-MET-00570-000,BraTS-MET-00570-000,completion,success,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/data/output/run_3104668/BraTS-MET-00570-000
BraTS-MET-00571-000,BraTS-MET-00571-000,completion,success,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/data/output/run_3104668/BraTS-MET-00571-000
BraTS-MET-00573-000,BraTS-MET-00573-000,completion,success,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/data/output/run_3104668/BraTS-MET-00573-000
