subject,modality,delta_whole_SSIM,delta_tumor_SSIM,delta_tumor_MSE
BraTS-MET-00006-000,t1n,-0.00321120023727417,0.0275651216506958,-0.007374586406513117
BraTS-MET-00006-000,t1c,-0.0021263957023620605,0.03797870874404907,-0.003728683339431882
BraTS-MET-00006-000,t2w,-0.0035300254821777344,0.0166589617729187,-0.002799728186801076
BraTS-MET-00006-000,t2f,-0.003068208694458008,0.012342691421508789,0.0001661005662754178
BraTS-MET-00009-000,t1n,-0.003834962844848633,0.030159473419189453,-0.00026963837444782257
BraTS-MET-00009-000,t1c,0.00996488332748413,0.15286660194396973,-0.007066287798807025
BraTS-MET-00009-000,t2w,0.0011600255966186523,0.07651931047439575,-0.004327422473579645
BraTS-MET-00009-000,t2f,-0.0008565783500671387,0.03296554088592529,0.0005164438625797629
BraTS-MET-00014-000,t1n,-0.002594888210296631,0.03468996286392212,-0.007466913666576147
BraTS-MET-00014-000,t1c,0.0020742416381835938,0.0479244589805603,-0.008366841124370694
BraTS-MET-00014-000,t2w,-0.0030568838119506836,0.01576012372970581,-0.0020936961518600583
BraTS-MET-00014-000,t2f,-0.004958629608154297,0.0026631951332092285,-0.00019763794261962175
BraTS-MET-00016-000,t1n,-0.008431315422058105,-0.0004290938377380371,-0.003319719573482871
BraTS-MET-00016-000,t1c,-0.004627823829650879,0.020756661891937256,-0.0070451784413307905
BraTS-MET-00016-000,t2w,-0.004787087440490723,0.003283560276031494,-0.0012138925376348197
BraTS-MET-00016-000,t2f,-0.0016250014305114746,0.013112127780914307,-0.0008410432492382824
BraTS-MET-00019-000,t1n,0.0018071532249450684,0.09183400869369507,-0.009018538752570748
BraTS-MET-00019-000,t1c,0.003602921962738037,0.09224849939346313,-0.01059861306566745
BraTS-MET-00019-000,t2w,-0.005672752857208252,0.014243006706237793,-0.00012166390661150217
BraTS-MET-00019-000,t2f,-0.0022190213203430176,0.015554666519165039,3.241014201194048e-05
BraTS-MET-00022-000,t1n,-0.004843533039093018,0.00804966688156128,-0.0029185299354139715
BraTS-MET-00022-000,t1c,0.009938478469848633,0.08972018957138062,-0.009269882109947503
BraTS-MET-00022-000,t2w,-0.0013427138328552246,0.021409332752227783,-0.0037392255617305636
BraTS-MET-00022-000,t2f,-0.0006614923477172852,0.02067887783050537,-0.0006859598215669394
BraTS-MET-00025-000,t1n,-0.005908787250518799,0.005557239055633545,-0.000713199027813971
BraTS-MET-00025-000,t1c,-0.00040221214294433594,0.0688866376876831,-0.013135441462509334
BraTS-MET-00025-000,t2w,-0.0025048255920410156,0.03574913740158081,-0.0018442720174789429
BraTS-MET-00025-000,t2f,-5.704164505004883e-05,0.03479427099227905,-0.00024104607291519642
BraTS-MET-00098-000,t1n,-0.003699779510498047,0.029567301273345947,-4.513587919063866e-05
BraTS-MET-00098-000,t1c,0.018125712871551514,0.24584484100341797,-0.019357116892933846
BraTS-MET-00098-000,t2w,0.0025910139083862305,0.1301671266555786,-0.008781270822510123
BraTS-MET-00098-000,t2f,-0.003223419189453125,0.029218196868896484,-9.891489753499627e-05
BraTS-MET-00129-000,t1n,-0.0027390718460083008,0.018293380737304688,-0.0009646948310546577
BraTS-MET-00129-000,t1c,0.022354185581207275,0.13406503200531006,-0.012757506221532822
