modality,step,bytes,deployed_mtime_utc,sha256,source_host,local_canonical_relative_path,deployed_path,checksum_verified
t1c,125000,53749405,2026-07-20T08:23:39.994986+00:00,30958dd545e178a85b520216033b561fd6bb14679ce941b8779864ef2ad67080,a800_117.50.198.191,canonical/checkpoints/brats2026_diffusion_v3_edm_zscore/t1c/weights/diffusion_125000.pt,/cloud/cloud-ssd1/brats2026/g1_diffusion_v3_final/checkpoints/brats2026_diffusion_v3_edm_zscore/t1c/weights/diffusion_125000.pt,yes
t1c,130000,53749405,2026-07-20T08:23:33.542930+00:00,e7d515db270f71d279045aefabaaac77df54555daf7a33e49ce39174693e424c,a800_117.50.198.191,canonical/checkpoints/brats2026_diffusion_v3_edm_zscore/t1c/weights/diffusion_130000.pt,/cloud/cloud-ssd1/brats2026/g1_diffusion_v3_final/checkpoints/brats2026_diffusion_v3_edm_zscore/t1c/weights/diffusion_130000.pt,yes
t1c,135000,53749405,2026-07-20T08:23:30.338902+00:00,19bd4a54f6ce39c615ae37b217f776132c010f81ff316eb72ce8cb1e098a743e,a800_117.50.198.191,canonical/checkpoints/brats2026_diffusion_v3_edm_zscore/t1c/weights/diffusion_135000.pt,/cloud/cloud-ssd1/brats2026/g1_diffusion_v3_final/checkpoints/brats2026_diffusion_v3_edm_zscore/t1c/weights/diffusion_135000.pt,yes
t1c,140000,53749405,2026-07-20T08:23:36.882959+00:00,cfdf73e13518df7b4a8830682fca48f5064aa76bf04e1b572e273635fc12bd29,a800_117.50.198.191,canonical/checkpoints/brats2026_diffusion_v3_edm_zscore/t1c/weights/diffusion_140000.pt,/cloud/cloud-ssd1/brats2026/g1_diffusion_v3_final/checkpoints/brats2026_diffusion_v3_edm_zscore/t1c/weights/diffusion_140000.pt,yes
t1c,145000,53749405,2026-07-20T08:23:43.227015+00:00,d336850d23e518fb4fbd67b85a55f883fa879aa7d5083ff0bed409121502066c,a800_117.50.198.191,canonical/checkpoints/brats2026_diffusion_v3_edm_zscore/t1c/weights/diffusion_145000.pt,/cloud/cloud-ssd1/brats2026/g1_diffusion_v3_final/checkpoints/brats2026_diffusion_v3_edm_zscore/t1c/weights/diffusion_145000.pt,yes
t1c,150000,53749405,2026-07-20T08:23:26.590868+00:00,cc49de179dee75af561df377ba323052da99525a58a99c60d2fe48f2c34d51a5,a800_117.50.198.191,canonical/checkpoints/brats2026_diffusion_v3_edm_zscore/t1c/weights/diffusion_150000.pt,/cloud/cloud-ssd1/brats2026/g1_diffusion_v3_final/checkpoints/brats2026_diffusion_v3_edm_zscore/t1c/weights/diffusion_150000.pt,yes
t1n,125000,53749405,2026-07-20T08:18:16.747818+00:00,72d208a3bc7b6e45fba129445b8a1841ad1082eff5140b628634d3ff379c2066,h20_117.50.196.61,canonical/checkpoints/brats2026_diffusion_v3_edm_zscore/t1n/weights/diffusion_125000.pt,/cloud/cloud-ssd1/brats2026/g1_diffusion_v3_final/checkpoints/brats2026_diffusion_v3_edm_zscore/t1n/weights/diffusion_125000.pt,yes
t1n,130000,53749405,2026-07-20T08:18:09.051732+00:00,f5c4b90b95231dbd58df803b842b6082367ca577a619bb72d692240916cec84c,h20_117.50.196.61,canonical/checkpoints/brats2026_diffusion_v3_edm_zscore/t1n/weights/diffusion_130000.pt,/cloud/cloud-ssd1/brats2026/g1_diffusion_v3_final/checkpoints/brats2026_diffusion_v3_edm_zscore/t1n/weights/diffusion_130000.pt,yes
t1n,135000,53749405,2026-07-20T08:18:05.747695+00:00,6078b6339b2675b91a3bdb24c08b7849a368a2224413a8edd2c79364b2fdf468,h20_117.50.196.61,canonical/checkpoints/brats2026_diffusion_v3_edm_zscore/t1n/weights/diffusion_135000.pt,/cloud/cloud-ssd1/brats2026/g1_diffusion_v3_final/checkpoints/brats2026_diffusion_v3_edm_zscore/t1n/weights/diffusion_135000.pt,yes
t1n,140000,53749405,2026-07-20T08:18:12.691772+00:00,0c15486984f4085db10e81cbf3815eec1e421b93a43fead53a692e83ffb94811,h20_117.50.196.61,canonical/checkpoints/brats2026_diffusion_v3_edm_zscore/t1n/weights/diffusion_140000.pt,/cloud/cloud-ssd1/brats2026/g1_diffusion_v3_final/checkpoints/brats2026_diffusion_v3_edm_zscore/t1n/weights/diffusion_140000.pt,yes
