subject_id,all_instance_tp_et,all_instance_fp_et,all_instance_fn_et,all_instance_f1_et,large_instance_tp_et,large_instance_fp_et,large_instance_fn_et,large_instance_f1_et,lesionwise_dsc_mean_et,lesionwise_dsc_std_et,lesionwise_hd95_mean_et,lesionwise_hd95_std_et,lesionwise_nsd_mean_et,lesionwise_nsd_std_et,small_instance_tp_et,small_instance_fn_et,small_instance_fp_et,small_instance_f1_et,all_instance_tp_rc,all_instance_fp_rc,all_instance_fn_rc,all_instance_f1_rc,large_instance_tp_rc,large_instance_fp_rc,large_instance_fn_rc,large_instance_f1_rc,lesionwise_dsc_mean_rc,lesionwise_dsc_std_rc,lesionwise_hd95_mean_rc,lesionwise_hd95_std_rc,lesionwise_nsd_mean_rc,lesionwise_nsd_std_rc,small_instance_tp_rc,small_instance_fn_rc,small_instance_fp_rc,small_instance_f1_rc,all_instance_tp_tc,all_instance_fp_tc,all_instance_fn_tc,all_instance_f1_tc,large_instance_tp_tc,large_instance_fp_tc,large_instance_fn_tc,large_instance_f1_tc,lesionwise_dsc_mean_tc,lesionwise_dsc_std_tc,lesionwise_hd95_mean_tc,lesionwise_hd95_std_tc,lesionwise_nsd_mean_tc,lesionwise_nsd_std_tc,small_instance_tp_tc,small_instance_fn_tc,small_instance_fp_tc,small_instance_f1_tc,all_instance_tp_wt,all_instance_fp_wt,all_instance_fn_wt,all_instance_f1_wt,large_instance_tp_wt,large_instance_fp_wt,large_instance_fn_wt,large_instance_f1_wt,lesionwise_dsc_mean_wt,lesionwise_dsc_std_wt,lesionwise_hd95_mean_wt,lesionwise_hd95_std_wt,lesionwise_nsd_mean_wt,lesionwise_nsd_std_wt,small_instance_tp_wt,small_instance_fn_wt,small_instance_fp_wt,small_instance_f1_wt
BraTS-MET-00558-000.nii.gz,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.7874015748031497,0.0,0.8593999743461609,0.0,0.9490740740740741,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.7874015748031497,0.0,0.8593999743461609,0.0,0.9490740740740741,0.0,,,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.7874015748031497,0.0,0.8593999743461609,0.0,0.9490740740740741,0.0,,,,
BraTS-MET-00566-000.nii.gz,11.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,0.8828016203906128,0.07167300348073156,0.8593999743461609,0.0,0.982634024958723,0.014366345054726433,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,11.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,0.887688682718442,0.07339178643430673,0.8593999743461609,0.0,0.9827710948772024,0.014349583017502018,2.0,0.0,0.0,1.0,11.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,0.8277726789376316,0.09871711237613234,1.0449974868338878,0.3051541629879804,0.9487606494680587,0.03196117224735306,1.0,0.0,0.0,1.0
BraTS-MET-00576-000.nii.gz,6.0,1.0,1.0,0.8571428571428571,3.0,1.0,0.0,0.8571428571428571,0.6004883953915512,0.35344326607769605,94.35444310867092,160.87896074316214,0.6950048483073029,0.40487076644035414,2.0,2.0,1.0,0.5714285714285714,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,6.0,1.0,1.0,0.8571428571428571,3.0,1.0,0.0,0.8571428571428571,0.6004883953915512,0.35344326607769605,94.35444310867092,160.87896074316214,0.6950048483073029,0.40487076644035414,2.0,2.0,1.0,0.5714285714285714,6.0,0.0,1.0,0.9230769230769231,3.0,0.0,0.0,1.0,0.5680259759255949,0.20246324667001428,2.3682542818889734,0.9885894781528598,0.7604367466881122,0.13182600254286153,2.0,2.0,0.0,0.6666666666666666
BraTS-MET-00577-000.nii.gz,6.0,2.0,1.0,0.8,6.0,2.0,1.0,0.8,0.55983752182618,0.39955557491888877,125.23963666259903,175.19316467528952,0.6425469329091302,0.45479864288397953,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,6.0,2.0,1.0,0.8,6.0,2.0,1.0,0.8,0.55983752182618,0.39955557491888877,125.23963666259903,175.19316467528952,0.6425469329091302,0.45479864288397953,,,,,6.0,2.0,1.0,0.8,6.0,2.0,1.0,0.8,0.4769307258319362,0.3597226091344446,125.96983855957495,174.68155778303623,0.5680063571223842,0.4129801782302406,,,,
BraTS-MET-00577-002.nii.gz,4.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.8353536951255562,0.029020259075644227,0.7142857313156128,0.0,0.9825431213760323,0.00514841513182927,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,4.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.8353536951255562,0.029020259075644227,0.7142857313156128,0.0,0.9825431213760323,0.00514841513182927,,,,,4.0,1.0,0.0,0.8888888888888888,4.0,1.0,0.0,0.8888888888888888,0.6596513747047791,0.3326849836223267,75.60000002384186,148.70025732012238,0.7032623035001381,0.3554028178106047,,,,
BraTS-MET-00587-000.nii.gz,8.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.8982426479592613,0.03964056070679548,0.8593999743461609,0.0,0.9964408358787764,0.0038803178666799902,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,8.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.9033733470440751,0.04288969876084808,0.8593999743461609,0.0,0.9974191542288559,0.004034627259529486,3.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.7898906185598755,0.250925818241443,1.5070245982740336,0.9449250550414039,0.9302186391992797,0.08220651362114446,1.0,1.0,0.0,0.6666666666666666
BraTS-MET-00601-000.nii.gz,6.0,0.0,1.0,0.9230769230769231,6.0,0.0,0.0,1.0,0.8250148354420105,0.057959512763062965,1.0218999743461599,0.28315001497645254,0.9515899957926082,0.022099618856842775,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,6.0,0.0,1.0,0.9230769230769231,6.0,0.0,0.0,1.0,0.8250148354420105,0.057959512763062965,1.0218999743461599,0.28315001497645254,0.9515899957926082,0.022099618856842775,0.0,1.0,0.0,0.0,5.0,0.0,1.0,0.9090909090909091,5.0,0.0,0.0,1.0,0.8380557076071653,0.06646935772658212,1.0338200255797607,0.15935672703425408,0.9556823170619666,0.006891717254102321,0.0,1.0,0.0,0.0
BraTS-MET-00601-001.nii.gz,6.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.8393152040608061,0.14882301840484077,1.2865525011822527,0.8016510068407401,0.961552698393432,0.0641830267776284,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,6.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.8393152040608061,0.14882301840484077,1.2865525011822527,0.8016510068407401,0.961552698393432,0.0641830267776284,,,,,5.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.7057135423756614,0.1532861523139558,1.963451629267905,0.588875310639452,0.8675607225299032,0.04713179755372825,,,,
BraTS-MET-00601-002.nii.gz,6.0,1.0,7.0,0.6,3.0,1.0,1.0,0.75,0.5354311037697643,0.43790171735841876,149.77249999999998,182.26472461093505,0.578250753346762,0.47249574955900664,3.0,6.0,1.0,0.46153846153846156,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,6.0,1.0,7.0,0.6,3.0,1.0,1.0,0.75,0.5354311037697643,0.43790171735841876,149.77249999999998,182.26472461093505,0.578250753346762,0.47249574955900664,3.0,6.0,1.0,0.46153846153846156,6.0,1.0,7.0,0.6,4.0,1.0,1.0,0.8,0.595376552659559,0.42471445574957084,124.925,175.41574277270556,0.644930755134275,0.4564839189436286,2.0,6.0,1.0,0.36363636363636365
BraTS-MET-00606-000.nii.gz,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.8981132075471698,0.0,1.1719000339508057,0.0,0.9891304347826086,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.8981132075471698,0.0,1.1719000339508057,0.0,0.9891304347826086,0.0,,,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.8395560040363269,0.0,1.6573169217587198,0.0,0.8761217748971707,0.0,,,,
BraTS-MET-00612-000.nii.gz,3.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.9442692054424885,0.03822132218709388,0.8593999743461609,0.0,0.9925641680118078,0.008859052420676883,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,3.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.9488514649047887,0.04151079026397934,0.8593999743461609,0.0,0.998598501261903,0.0010246781396116697,,,,,3.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.8341538399181592,0.14712136905301765,1.3831833823797277,0.23731674991817986,0.9110572302257314,0.04026682269714174,,,,
BraTS-MET-00617-000.nii.gz,5.0,1.0,2.0,0.7692307692307693,4.0,1.0,0.0,0.8888888888888888,0.6018802803668354,0.37494334020279774,75.47720018726588,148.7623683997112,0.7494423076923077,0.3826040505110415,1.0,2.0,1.0,0.4,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,5.0,1.0,2.0,0.7692307692307693,4.0,1.0,0.0,0.8888888888888888,0.6018802803668354,0.37494334020279774,75.47720018726588,148.7623683997112,0.7494423076923077,0.3826040505110415,1.0,2.0,1.0,0.4,5.0,1.0,2.0,0.7692307692307693,4.0,1.0,1.0,0.8,0.48768617119036906,0.41757833796029337,125.06433348938822,175.31767591676285,0.6087246994651797,0.4392633580848279,1.0,1.0,1.0,0.5
