metric,primary_endpoint,direction,rank,method,aggregate_mean
all_instance_tp_et,False,higher_is_better,1,FixV3,3.9611650485436893
all_instance_tp_et,False,higher_is_better,2,E,3.9514563106796117
all_instance_fp_et,False,lower_is_better,1,E,1.0
all_instance_fp_et,False,lower_is_better,2,FixV3,1.087378640776699
all_instance_fn_et,False,lower_is_better,1,FixV3,3.6893203883495147
all_instance_fn_et,False,lower_is_better,2,E,3.6990291262135924
all_instance_f1_et,True,higher_is_better,1,FixV3,0.697868505293826
all_instance_f1_et,True,higher_is_better,2,E,0.6930781145796465
large_instance_tp_et,False,higher_is_better,1,FixV3,3.1650485436893203
large_instance_tp_et,False,higher_is_better,2,E,3.1067961165048543
large_instance_fp_et,False,lower_is_better,1,E,1.0
large_instance_fp_et,False,lower_is_better,2,FixV3,1.087378640776699
large_instance_fn_et,False,lower_is_better,1,FixV3,0.8737864077669902
large_instance_fn_et,False,lower_is_better,2,E,0.9320388349514563
large_instance_f1_et,True,higher_is_better,1,FixV3,0.6792326961781032
large_instance_f1_et,True,higher_is_better,2,E,0.6751870781121148
lesionwise_dsc_mean_et,True,higher_is_better,1,FixV3,0.6278253119995272
lesionwise_dsc_mean_et,True,higher_is_better,2,E,0.6116520055642963
lesionwise_dsc_std_et,False,lower_is_better,1,FixV3,0.17277005410508478
lesionwise_dsc_std_et,False,lower_is_better,2,E,0.18765084307021399
lesionwise_hd95_mean_et,True,lower_is_better,1,FixV3,80.81317018056136
lesionwise_hd95_mean_et,True,lower_is_better,2,E,85.2147255990248
lesionwise_hd95_std_et,False,lower_is_better,1,FixV3,74.86371182775284
lesionwise_hd95_std_et,False,lower_is_better,2,E,82.96400267749226
lesionwise_nsd_mean_et,True,higher_is_better,1,FixV3,0.701447556628695
lesionwise_nsd_mean_et,True,higher_is_better,2,E,0.6792965045616034
lesionwise_nsd_std_et,False,lower_is_better,1,FixV3,0.19174747286481075
lesionwise_nsd_std_et,False,lower_is_better,2,E,0.20752868398425928
small_instance_tp_et,False,higher_is_better,1,E,1.4339622641509433
small_instance_tp_et,False,higher_is_better,2,FixV3,1.3584905660377358
small_instance_fn_et,False,lower_is_better,1,E,5.584905660377358
small_instance_fn_et,False,lower_is_better,2,FixV3,5.660377358490566
small_instance_fp_et,False,lower_is_better,1,E,1.320754716981132
small_instance_fp_et,False,lower_is_better,2,FixV3,1.5660377358490567
small_instance_f1_et,True,higher_is_better,1,E,0.3008819475648447
small_instance_f1_et,True,higher_is_better,2,FixV3,0.29113900002678555
all_instance_tp_rc,False,higher_is_better,1,E,0.07766990291262135
all_instance_tp_rc,False,higher_is_better,2,FixV3,0.07766990291262135
all_instance_fp_rc,False,lower_is_better,1,FixV3,0.02912621359223301
all_instance_fp_rc,False,lower_is_better,2,E,0.038834951456310676
all_instance_fn_rc,False,lower_is_better,1,E,0.1262135922330097
all_instance_fn_rc,False,lower_is_better,2,FixV3,0.1262135922330097
all_instance_f1_rc,True,higher_is_better,1,FixV3,0.3684210526315789
all_instance_f1_rc,True,higher_is_better,2,E,0.3508771929824561
large_instance_tp_rc,False,higher_is_better,1,E,0.07766990291262135
large_instance_tp_rc,False,higher_is_better,2,FixV3,0.07766990291262135
