subject_id,E__all_instance_tp_et,E__all_instance_fp_et,E__all_instance_fn_et,E__all_instance_f1_et,E__large_instance_tp_et,E__large_instance_fp_et,E__large_instance_fn_et,E__large_instance_f1_et,E__lesionwise_dsc_mean_et,E__lesionwise_dsc_std_et,E__lesionwise_hd95_mean_et,E__lesionwise_hd95_std_et,E__lesionwise_nsd_mean_et,E__lesionwise_nsd_std_et,E__small_instance_tp_et,E__small_instance_fn_et,E__small_instance_fp_et,E__small_instance_f1_et,E__all_instance_tp_rc,E__all_instance_fp_rc,E__all_instance_fn_rc,E__all_instance_f1_rc,E__large_instance_tp_rc,E__large_instance_fp_rc,E__large_instance_fn_rc,E__large_instance_f1_rc,E__lesionwise_dsc_mean_rc,E__lesionwise_dsc_std_rc,E__lesionwise_hd95_mean_rc,E__lesionwise_hd95_std_rc,E__lesionwise_nsd_mean_rc,E__lesionwise_nsd_std_rc,E__small_instance_tp_rc,E__small_instance_fn_rc,E__small_instance_fp_rc,E__small_instance_f1_rc,E__all_instance_tp_tc,E__all_instance_fp_tc,E__all_instance_fn_tc,E__all_instance_f1_tc,E__large_instance_tp_tc,E__large_instance_fp_tc,E__large_instance_fn_tc,E__large_instance_f1_tc,E__lesionwise_dsc_mean_tc,E__lesionwise_dsc_std_tc,E__lesionwise_hd95_mean_tc,E__lesionwise_hd95_std_tc,E__lesionwise_nsd_mean_tc,E__lesionwise_nsd_std_tc,E__small_instance_tp_tc,E__small_instance_fn_tc,E__small_instance_fp_tc,E__small_instance_f1_tc,E__all_instance_tp_wt,E__all_instance_fp_wt,E__all_instance_fn_wt,E__all_instance_f1_wt,E__large_instance_tp_wt,E__large_instance_fp_wt,E__large_instance_fn_wt,E__large_instance_f1_wt,E__lesionwise_dsc_mean_wt,E__lesionwise_dsc_std_wt,E__lesionwise_hd95_mean_wt,E__lesionwise_hd95_std_wt,E__lesionwise_nsd_mean_wt,E__lesionwise_nsd_std_wt,E__small_instance_tp_wt,E__small_instance_fn_wt,E__small_instance_fp_wt,E__small_instance_f1_wt,FixV3__all_instance_tp_et,FixV3__all_instance_fp_et,FixV3__all_instance_fn_et,FixV3__all_instance_f1_et,FixV3__large_instance_tp_et,FixV3__large_instance_fp_et,FixV3__large_instance_fn_et,FixV3__large_instance_f1_et,FixV3__lesionwise_dsc_mean_et,FixV3__lesionwise_dsc_std_et,FixV3__lesionwise_hd95_mean_et,FixV3__lesionwise_hd95_std_et,FixV3__lesionwise_nsd_mean_et,FixV3__lesionwise_nsd_std_et,FixV3__small_instance_tp_et,FixV3__small_instance_fn_et,FixV3__small_instance_fp_et,FixV3__small_instance_f1_et,FixV3__all_instance_tp_rc,FixV3__all_instance_fp_rc,FixV3__all_instance_fn_rc,FixV3__all_instance_f1_rc,FixV3__large_instance_tp_rc,FixV3__large_instance_fp_rc,FixV3__large_instance_fn_rc,FixV3__large_instance_f1_rc,FixV3__lesionwise_dsc_mean_rc,FixV3__lesionwise_dsc_std_rc,FixV3__lesionwise_hd95_mean_rc,FixV3__lesionwise_hd95_std_rc,FixV3__lesionwise_nsd_mean_rc,FixV3__lesionwise_nsd_std_rc,FixV3__small_instance_tp_rc,FixV3__small_instance_fn_rc,FixV3__small_instance_fp_rc,FixV3__small_instance_f1_rc,FixV3__all_instance_tp_tc,FixV3__all_instance_fp_tc,FixV3__all_instance_fn_tc,FixV3__all_instance_f1_tc,FixV3__large_instance_tp_tc,FixV3__large_instance_fp_tc,FixV3__large_instance_fn_tc,FixV3__large_instance_f1_tc,FixV3__lesionwise_dsc_mean_tc,FixV3__lesionwise_dsc_std_tc,FixV3__lesionwise_hd95_mean_tc,FixV3__lesionwise_hd95_std_tc,FixV3__lesionwise_nsd_mean_tc,FixV3__lesionwise_nsd_std_tc,FixV3__small_instance_tp_tc,FixV3__small_instance_fn_tc,FixV3__small_instance_fp_tc,FixV3__small_instance_f1_tc,FixV3__all_instance_tp_wt,FixV3__all_instance_fp_wt,FixV3__all_instance_fn_wt,FixV3__all_instance_f1_wt,FixV3__large_instance_tp_wt,FixV3__large_instance_fp_wt,FixV3__large_instance_fn_wt,FixV3__large_instance_f1_wt,FixV3__lesionwise_dsc_mean_wt,FixV3__lesionwise_dsc_std_wt,FixV3__lesionwise_hd95_mean_wt,FixV3__lesionwise_hd95_std_wt,FixV3__lesionwise_nsd_mean_wt,FixV3__lesionwise_nsd_std_wt,FixV3__small_instance_tp_wt,FixV3__small_instance_fn_wt,FixV3__small_instance_fp_wt,FixV3__small_instance_f1_wt
BraTS-MET-00006-000.nii.gz,3.0,0.0,9.0,0.4,3.0,0.0,6.0,0.5,0.2752939805453336,0.3979646587868732,249.1571348402637,175.14041967128864,0.29846649943398673,0.4244977837662503,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,3.0,0.0,10.0,0.375,3.0,0.0,6.0,0.5,0.2752122316919696,0.39782857947604244,249.1571348402637,175.14041967128864,0.296157741210356,0.42174425394880005,0.0,4.0,0.0,0.0,3.0,1.0,8.0,0.4,3.0,1.0,7.0,0.42857142857142855,0.22638221643844583,0.3760240958084827,271.67401941476123,165.4647721159752,0.25033473540281387,0.4096025568839745,0.0,1.0,1.0,0.0,6.0,0.0,6.0,0.6666666666666666,4.0,0.0,5.0,0.6153846153846154,0.3413719259546883,0.37721950449682495,166.9748207961656,184.27626692936263,0.45919056123297974,0.4226032771328749,1.0,2.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,6.0,0.0,7.0,0.631578947368421,4.0,0.0,5.0,0.6153846153846154,0.3412163041884375,0.3769755898725248,167.0010505714434,184.25279795020387,0.4561100401028233,0.42027320014952035,1.0,3.0,0.0,0.4,6.0,1.0,5.0,0.6666666666666666,4.0,1.0,6.0,0.5333333333333333,0.28490755181223926,0.37369253908968314,204.4554050129991,184.6327708946687,0.38106499744501154,0.4270042666299219,1.0,0.0,1.0,0.6666666666666666
BraTS-MET-00009-000.nii.gz,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.0,0.6666666666666666,0.4562764963713444,0.4562764963713444,187.20710678118655,185.79289321881345,0.4622735509662165,0.4622735509662165,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.9608753460188757,0.0,1.4142135623730951,0.0,0.9262011678709232,0.0,,,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.9474447613982497,0.0,2.449489742783178,0.0,0.8567153094091391,0.0,,,,,1.0,2.0,0.0,0.5,1.0,2.0,0.0,0.5,0.30409288028741205,0.43005227552355607,249.1380711874577,175.16721958838815,0.3093863399922716,0.437538358030044,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,2.0,0.0,0.5,1.0,2.0,0.0,0.5,0.3178284281183153,0.44947727355264383,249.24401693585628,175.0173896741271,0.303437415072841,0.429125307727446,,,,,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.0,0.6666666666666666,0.46936114732724904,0.46936114732724904,188.0,185.0,0.4175243291245272,0.4175243291245272,,,,
BraTS-MET-00014-000.nii.gz,18.0,1.0,39.0,0.47368421052631576,17.0,1.0,34.0,0.4927536231884058,0.2625618827368326,0.3957138558635348,244.66067801869164,176.38934916493577,0.31440683090258037,0.43865085844051444,0.0,6.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,18.0,1.0,39.0,0.47368421052631576,17.0,1.0,34.0,0.4927536231884058,0.26353611769272656,0.3971562821160928,244.6671572448771,176.3806153754493,0.3138738845292753,0.4382647353793636,0.0,6.0,1.0,0.0,12.0,2.0,33.0,0.4067796610169492,11.0,2.0,30.0,0.4074074074074074,0.19963909156101084,0.35361473115347064,269.8617098838639,165.78225923909184,0.23907871724774968,0.3902716689562951,0.0,4.0,2.0,0.0,19.0,2.0,38.0,0.48717948717948717,18.0,2.0,33.0,0.5070422535211268,0.28989913907181863,0.40923855803700576,240.07091792523488,177.8250921295232,0.3254715078621442,0.44678336639062194,0.0,6.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,19.0,2.0,38.0,0.48717948717948717,18.0,2.0,33.0,0.5070422535211268,0.2912171087585877,0.41092185063857073,240.080750990086,177.81222996820924,0.3254416425771558,0.44710416067386416,0.0,6.0,2.0,0.0,13.0,3.0,32.0,0.4262295081967213,12.0,3.0,29.0,0.42857142857142855,0.22853422105466253,0.37698052256464337,263.7118834158762,168.7752108447019,0.2563088346723283,0.4088841720808621,0.0,4.0,3.0,0.0
BraTS-MET-00016-000.nii.gz,5.0,1.0,1.0,0.8333333333333334,5.0,1.0,1.0,0.8333333333333334,0.6553691717681366,0.41721163275044526,107.28571428571429,168.05246994037674,0.70560289271023,0.44638741195137327,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,5.0,1.0,1.0,0.8333333333333334,5.0,1.0,1.0,0.8333333333333334,0.6549705721940965,0.41693146082788796,107.28571428571429,168.05246994037674,0.7036034229562116,0.4451369067556415,,,,,3.0,1.0,5.0,0.5,3.0,1.0,1.0,0.75,0.3912810122601854,0.37414115666822606,162.45583960360472,173.29561499280044,0.3925591739495878,0.36248867809480995,0.0,4.0,1.0,0.0,5.0,1.0,1.0,0.8333333333333334,5.0,1.0,1.0,0.8333333333333334,0.6553433266731458,0.4178477472514362,107.28571428571429,168.05246994037674,0.705802233633109,0.4465524013028561,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,5.0,1.0,1.0,0.8333333333333334,5.0,1.0,1.0,0.8333333333333334,0.6553433266731458,0.4178477472514362,107.28571428571429,168.05246994037674,0.705802233633109,0.4465524013028561,,,,,3.0,2.0,5.0,0.46153846153846156,3.0,2.0,1.0,0.6666666666666666,0.34244923580350917,0.3766456022724609,196.77563919281394,177.18581908522992,0.3394976399412076,0.36493651848991604,0.0,4.0,2.0,0.0
BraTS-MET-00019-000.nii.gz,5.0,1.0,4.0,0.6666666666666666,5.0,1.0,1.0,0.8333333333333334,0.6159371865572688,0.3928880350742987,107.65793589649486,167.81936797365682,0.686169395072687,0.4352649097879734,0.0,3.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,5.0,1.0,4.0,0.6666666666666666,5.0,1.0,1.0,0.8333333333333334,0.6322020330506712,0.4035717776587941,107.28571428571429,168.05246994037674,0.7067789891846983,0.44726193762569755,0.0,3.0,1.0,0.0,3.0,2.0,2.0,0.6,3.0,2.0,0.0,0.75,0.5078274548050907,0.4182077222280583,150.39362375701373,181.7574150708405,0.5245573416828739,0.4286484251399419,0.0,2.0,2.0,0.0,5.0,2.0,4.0,0.625,5.0,2.0,1.0,0.7692307692307693,0.5458382603283376,0.4258209928547719,140.825693909433,179.84333163875354,0.6008275548898518,0.466452344062819,0.0,3.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,5.0,2.0,4.0,0.625,5.0,2.0,1.0,0.7692307692307693,0.560336036921828,0.43678599080084785,140.5,180.09372559864488,0.6184249032262337,0.479238559880486,0.0,3.0,2.0,0.0,3.0,1.0,2.0,0.6666666666666666,3.0,1.0,0.0,0.8571428571428571,0.6228265623503471,0.3665425596014448,94.80901699437494,160.6136678385757,0.6505325312433337,0.3758935890578842,0.0,2.0,1.0,0.0
BraTS-MET-00022-000.nii.gz,20.0,3.0,15.0,0.6896551724137931,19.0,3.0,14.0,0.6909090909090909,0.4092692582235521,0.39768119433270566,177.65073087122087,184.81148281849545,0.470238542433625,0.4501230724300224,1.0,1.0,3.0,0.3333333333333333,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,20.0,3.0,15.0,0.6896551724137931,19.0,3.0,14.0,0.6909090909090909,0.4266447356814008,0.4143048146857108,177.5354526809709,184.9220027891877,0.47796753392301244,0.4608251709391537,1.0,1.0,3.0,0.3333333333333333,19.0,4.0,12.0,0.7037037037037037,19.0,4.0,11.0,0.7169811320754716,0.3370912041938836,0.3315021143091737,166.98052914427274,183.09015751270226,0.3248459021666124,0.3320171705100946,0.0,1.0,4.0,0.0,23.0,2.0,12.0,0.7666666666666667,22.0,2.0,11.0,0.7719298245614035,0.5111970854021335,0.3987160753282215,139.9438843401026,179.18074061470043,0.5811639190425446,0.45102777388304793,1.0,1.0,2.0,0.4,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,23.0,2.0,12.0,0.7666666666666667,22.0,2.0,11.0,0.7719298245614035,0.5291302074337373,0.41261111996736427,139.8306861005399,179.2688860524427,0.5945303091200974,0.46219483242484777,1.0,1.0,2.0,0.4,22.0,2.0,9.0,0.8,22.0,2.0,8.0,0.8148148148148148,0.4503183418777049,0.32665396860032136,118.71126563960195,171.46227302761767,0.4646856352400389,0.3427582235005333,0.0,1.0,2.0,0.0
BraTS-MET-00025-000.nii.gz,2.0,1.0,0.0,0.8,2.0,1.0,0.0,0.8,0.5104124711478352,0.3853505892144447,125.4120226591666,175.0718649751296,0.5911725570414036,0.42359292181440394,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,2.0,1.0,0.0,0.8,2.0,1.0,0.0,0.8,0.5483282603244088,0.4051160020178389,125.48316324759439,175.0218340894765,0.5517215451224079,0.40551417964339564,,,,,2.0,1.0,0.0,0.8,2.0,1.0,0.0,0.8,0.5987774545798811,0.4269410884011601,125.47140452079104,175.02931177638033,0.5949481683238683,0.4231449053297608,,,,,2.0,1.0,0.0,0.8,2.0,1.0,0.0,0.8,0.5306697922505903,0.3898171752374163,125.33333333333333,175.1272553189696,0.6098116078208681,0.43324596806592514,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,2.0,1.0,0.0,0.8,2.0,1.0,0.0,0.8,0.5704311851318119,0.41251890614081776,125.4120226591666,175.0718649751296,0.5742884263529682,0.41330538668482747,,,,,2.0,1.0,0.0,0.8,2.0,1.0,0.0,0.8,0.5962822928173513,0.42574512653096397,125.47140452079104,175.02931177638033,0.5923156316984528,0.42184089579092793,,,,
BraTS-MET-00098-000.nii.gz,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.8125,0.0,1.0,0.0,0.9779139433551198,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.8125,0.0,1.0,0.0,0.9779139433551198,0.0,,,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.8932105807752514,0.0,2.23606797749979,0.0,0.7752139633343231,0.0,,,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.8127853881278538,0.0,1.0,0.0,0.9667420814479638,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.8127853881278538,0.0,1.0,0.0,0.9667420814479638,0.0,,,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.8928372241255677,0.0,2.23606797749979,0.0,0.7773588691854918,0.0,,,,
BraTS-MET-00129-000.nii.gz,2.0,1.0,10.0,0.26666666666666666,2.0,1.0,0.0,0.8,0.5220610336903192,0.3695812438234506,125.27614237491541,175.16721958838815,0.6021964557571787,0.4260855578409006,0.0,10.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.8779947457048451,0.06075336639450035,1.4142135623730951,0.0,0.8858422491045383,0.04729546607543034,,,,,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.8658420692991187,0.05064896364958149,2.5,0.5,0.7435439506512977,0.08839095322588646,,,,,2.0,1.0,10.0,0.26666666666666666,2.0,1.0,0.0,0.8,0.5222816264108495,0.3695568413411282,125.27614237491541,175.16721958838815,0.6033672820576014,0.4267065407848334,0.0,10.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.8785199997342901,0.06612757288403198,1.4142135623730951,0.0,0.9000058108001485,0.027375141580803952,,,,,2.0,1.0,0.0,0.8,2.0,1.0,0.0,0.8,0.5793378508360731,0.41125714802169877,125.96477615591242,174.681257823092,0.49759548510000284,0.36369334631315947,,,,
BraTS-MET-00133-000.nii.gz,11.0,0.0,4.0,0.8461538461538461,11.0,0.0,2.0,0.9166666666666666,0.6243936966971602,0.2861256219079434,59.728282319720456,133.60502057147778,0.7167460236622161,0.3228188869378285,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,11.0,0.0,4.0,0.8461538461538461,11.0,0.0,2.0,0.9166666666666666,0.6256093823831352,0.2871199638053284,59.59954263642549,133.65933410896517,0.7192607270703999,0.321957927097925,0.0,2.0,0.0,0.0,8.0,0.0,4.0,0.8,8.0,0.0,2.0,0.8888888888888888,0.6095466152693005,0.3376003427127605,76.84107943717925,148.083057632183,0.5768691966694031,0.31004950058778286,0.0,2.0,0.0,0.0,12.0,0.0,3.0,0.8888888888888888,12.0,0.0,1.0,0.96,0.6822340526819723,0.2201193749903244,31.06628670153216,98.74384724649806,0.7999879750641647,0.25186061481064514,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,12.0,0.0,3.0,0.8888888888888888,12.0,0.0,1.0,0.96,0.6834181153700558,0.22108489341131804,30.928352013506306,98.78246556584372,0.8025982396180438,0.2500007071228254,0.0,2.0,0.0,0.0,9.0,1.0,3.0,0.8181818181818182,9.0,1.0,1.0,0.9,0.6167641808693332,0.3163618819618438,69.98314846242211,142.8482819587247,0.6246988049256973,0.3159248240350614,0.0,2.0,1.0,0.0
