method_a,method_b,metric,primary_endpoint,direction,aggregate_mean_a,aggregate_mean_b,paired_complete_case_count,excluded_nonfinite_pair_count,bootstrap_replicates,seed,status,raw_mean_a_minus_b,benefit_mean_a_over_b,benefit_ci95_low,benefit_ci95_high,bootstrap_probability_a_better,bootstrap_probability_b_better,paired_two_sided_bootstrap_p,paired_effect_dz,wins_a,ties,wins_b
E,FixV3,all_instance_tp_et,False,higher_is_better,3.9514563106796117,3.9611650485436893,103,0,20000,20260824,available,-0.009708737864077669,-0.009708737864077669,-0.1553398058252427,0.1262135922330097,0.4292,0.5191,0.9618,-0.012988602408550903,13,81,9
E,FixV3,all_instance_fp_et,False,lower_is_better,1.0,1.087378640776699,103,0,20000,20260824,available,-0.08737864077669903,0.08737864077669903,-0.0970873786407767,0.30097087378640774,0.7844,0.18625,0.4312,0.08405969148765328,14,75,14
E,FixV3,all_instance_fn_et,False,lower_is_better,3.6990291262135924,3.6893203883495147,103,0,20000,20260824,available,0.009708737864077669,-0.009708737864077669,-0.1553398058252427,0.1262135922330097,0.43025,0.5181,0.9638,-0.012988602408550903,13,81,9
E,FixV3,all_instance_f1_et,True,higher_is_better,0.6930781145796465,0.697868505293826,94,9,20000,20260824,available,0.009955952149217216,0.009955952149217216,-0.01988237107052077,0.044305764051373236,0.71815,0.28185,0.5637,0.06244038182366202,22,55,17
E,FixV3,large_instance_tp_et,False,higher_is_better,3.1067961165048543,3.1650485436893203,103,0,20000,20260824,available,-0.05825242718446602,-0.05825242718446602,-0.1553398058252427,0.02912621359223301,0.0847,0.8749,0.2502,-0.12097456856075951,3,93,7
E,FixV3,large_instance_fp_et,False,lower_is_better,1.0,1.087378640776699,103,0,20000,20260824,available,-0.08737864077669903,0.08737864077669903,-0.0970873786407767,0.30097087378640774,0.78505,0.18645,0.4299,0.08405969148765328,14,75,14
E,FixV3,large_instance_fn_et,False,lower_is_better,0.9320388349514563,0.8737864077669902,103,0,20000,20260824,available,0.05825242718446602,-0.05825242718446602,-0.1553398058252427,0.02912621359223301,0.0836,0.87495,0.2501,-0.12097456856075951,3,93,7
E,FixV3,large_instance_f1_et,True,higher_is_better,0.6751870781121148,0.6792326961781032,103,0,20000,20260824,available,-0.00404561806598837,-0.00404561806598837,-0.03076494222549863,0.02479454563567672,0.36955,0.63045,0.7391,-0.028234604850069685,12,75,16
E,FixV3,lesionwise_dsc_mean_et,True,higher_is_better,0.6116520055642963,0.6278253119995272,85,18,20000,20260824,available,-0.016173306435230766,-0.016173306435230766,-0.04183854935515885,0.006898863110120115,0.09225,0.90775,0.1845,-0.13978275442367122,37,1,47
E,FixV3,lesionwise_dsc_std_et,False,lower_is_better,0.18765084307021399,0.17277005410508478,85,18,20000,20260824,available,0.014880788965129219,-0.014880788965129219,-0.03468157554071116,0.002546081465343001,0.05025,0.94975,0.1005,-0.16742120258727433,31,27,27
E,FixV3,lesionwise_hd95_mean_et,True,lower_is_better,85.2147255990248,80.81317018056136,85,18,20000,20260824,available,4.40155541846346,-4.40155541846346,-17.683222226135037,9.101931220983666,0.25065,0.74935,0.5013,-0.06975768868924315,26,31,28
E,FixV3,lesionwise_hd95_std_et,False,lower_is_better,82.96400267749226,74.86371182775284,85,18,20000,20260824,available,8.10029084973941,-8.10029084973941,-18.464509428963417,1.6632238825444998,0.0531,0.9469,0.1062,-0.17127909793019427,26,42,17
E,FixV3,lesionwise_nsd_mean_et,True,higher_is_better,0.6792965045616034,0.701447556628695,85,18,20000,20260824,available,-0.022151052067091576,-0.022151052067091576,-0.04892821426504512,0.001427199814949812,0.03405,0.96595,0.0681,-0.18477963274387577,31,7,47
E,FixV3,lesionwise_nsd_std_et,False,lower_is_better,0.20752868398425928,0.19174747286481075,85,18,20000,20260824,available,0.015781211119448555,-0.015781211119448555,-0.038759367032991744,0.004504943942619277,0.06955,0.93045,0.1391,-0.15423890379511107,30,28,27
E,FixV3,small_instance_tp_et,False,higher_is_better,1.4339622641509433,1.3584905660377358,53,50,20000,20260824,available,0.07547169811320754,0.07547169811320754,-0.09433962264150944,0.2641509433962264,0.76045,0.1761,0.4791,0.11179668052634446,8,40,5
E,FixV3,small_instance_fn_et,False,lower_is_better,5.584905660377358,5.660377358490566,53,50,20000,20260824,available,-0.07547169811320754,0.07547169811320754,-0.09433962264150944,0.2641509433962264,0.76515,0.1742,0.4697,0.11179668052634446,8,40,5
E,FixV3,small_instance_fp_et,False,lower_is_better,1.320754716981132,1.5660377358490567,53,50,20000,20260824,available,-0.24528301886792453,0.24528301886792453,-0.03773584905660377,0.6037735849056604,0.9456,0.0383,0.1088,0.2058769218280423,11,35,7
E,FixV3,small_instance_f1_et,True,higher_is_better,0.3008819475648447,0.29113900002678555,53,50,20000,20260824,available,0.009742947538059177,0.009742947538059177,-0.0513518033329354,0.07537158096092328,0.60935,0.39065,0.7813,0.04081288262341845,8,35,10
E,FixV3,all_instance_tp_rc,False,higher_is_better,0.07766990291262135,0.07766990291262135,103,0,20000,20260824,available,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0,103,0
E,FixV3,all_instance_fp_rc,False,lower_is_better,0.038834951456310676,0.02912621359223301,103,0,20000,20260824,available,0.009708737864077669,-0.009708737864077669,-0.02912621359223301,0.0,0.0,0.6386,0.7228,-0.09853292781642932,0,102,1
E,FixV3,all_instance_fn_rc,False,lower_is_better,0.1262135922330097,0.1262135922330097,103,0,20000,20260824,available,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0,103,0
E,FixV3,all_instance_f1_rc,True,higher_is_better,0.3508771929824561,0.3684210526315789,19,84,20000,20260824,available,-0.01754385964912281,-0.01754385964912281,-0.05263157894736842,0.0,0.0,0.6421,0.7158,-0.2294157338705618,0,18,1
E,FixV3,large_instance_tp_rc,False,higher_is_better,0.07766990291262135,0.07766990291262135,103,0,20000,20260824,available,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0,103,0
E,FixV3,large_instance_fp_rc,False,lower_is_better,0.038834951456310676,0.02912621359223301,103,0,20000,20260824,available,0.009708737864077669,-0.009708737864077669,-0.02912621359223301,0.0,0.0,0.62375,0.7525,-0.09853292781642932,0,102,1
E,FixV3,large_instance_fn_rc,False,lower_is_better,0.08737864077669903,0.08737864077669903,103,0,20000,20260824,available,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0,103,0
E,FixV3,large_instance_f1_rc,True,higher_is_better,0.06796116504854369,0.07119741100323625,103,0,20000,20260824,available,-0.003236245954692557,-0.003236245954692557,-0.009708737864077669,0.0,0.0,0.64275,0.7145,-0.09853292781642935,0,102,1
E,FixV3,lesionwise_dsc_mean_rc,True,higher_is_better,0.31118748213517744,0.34269371444758956,15,88,20000,20260824,available,-0.03150623231241212,-0.03150623231241212,-0.08884069907283103,0.0027159183472681083,0.06755,0.93245,0.1351,-0.3005830667471433,4,7,4
E,FixV3,lesionwise_dsc_std_rc,False,lower_is_better,0.07296644719993865,0.04435353392704049,15,88,20000,20260824,available,0.02861291327289816,-0.02861291327289816,-0.08458653721052814,0.0,0.0,0.96525,0.0695,-0.2663453908926817,0,12,3
E,FixV3,lesionwise_hd95_mean_rc,True,lower_is_better,213.6555647422685,201.0652333528001,15,88,20000,20260824,available,12.590331389468394,-12.590331389468394,-37.47344233194452,0.09903595101340557,0.0841,0.9159,0.1682,-0.264304133946407,3,8,4
E,FixV3,lesionwise_hd95_std_rc,False,lower_is_better,36.98091348771997,24.609044769963944,15,88,20000,20260824,available,12.371868717756026,-12.371868717756026,-37.09542111075261,0.0,0.0,0.88185,0.2363,-0.2586506848767768,0,13,2
E,FixV3,lesionwise_nsd_mean_rc,True,higher_is_better,0.2157761757531034,0.23983707820969835,15,88,20000,20260824,available,-0.02406090245659498,-0.02406090245659498,-0.06833698284924504,0.003909813202027459,0.08575,0.91425,0.1715,-0.3052255553146307,4,7,4
E,FixV3,lesionwise_nsd_std_rc,False,lower_is_better,0.06645203818166595,0.042269660827086025,15,88,20000,20260824,available,0.024182377354579933,-0.024182377354579933,-0.07223919191730052,0.0,0.0,0.9631,0.0738,-0.26151783303738707,0,12,3
E,FixV3,small_instance_tp_rc,False,higher_is_better,0.0,0.0,3,100,20000,20260824,available,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0,3,0
E,FixV3,small_instance_fn_rc,False,lower_is_better,1.3333333333333333,1.3333333333333333,3,100,20000,20260824,available,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0,3,0
E,FixV3,small_instance_fp_rc,False,lower_is_better,0.0,0.0,3,100,20000,20260824,available,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0,3,0
E,FixV3,small_instance_f1_rc,True,higher_is_better,0.0,0.0,3,100,20000,20260824,available,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0,3,0
E,FixV3,all_instance_tp_tc,False,higher_is_better,3.9514563106796117,3.9611650485436893,103,0,20000,20260824,available,-0.009708737864077669,-0.009708737864077669,-0.1553398058252427,0.1262135922330097,0.4302,0.51775,0.9645,-0.012988602408550903,13,81,9
