statistic,region,metric,realonly,completion_plain,completion_focal
mean,ET,all_instance_tp_et,4.029126213592233,4.116504854368932,4.194174757281553
mean,ET,all_instance_fp_et,0.941747572815534,1.029126213592233,1.1844660194174756
mean,ET,all_instance_fn_et,3.621359223300971,3.533980582524272,3.4563106796116503
mean,ET,all_instance_f1_et,0.670945902191554,0.7006802239518533,0.6968009542341833
mean,ET,large_instance_tp_et,3.116504854368932,3.2135922330097086,3.1844660194174756
mean,ET,large_instance_fp_et,0.941747572815534,1.029126213592233,1.1844660194174756
mean,ET,large_instance_fn_et,0.9223300970873787,0.8252427184466019,0.8543689320388349
mean,ET,large_instance_f1_et,0.6712554011677053,0.6801203887244391,0.6720883998004609
mean,ET,lesionwise_dsc_mean_et,0.6162184355551437,0.6193006106963588,0.6074733398544481
mean,ET,lesionwise_dsc_std_et,0.18654613889336288,0.17652338863643727,0.20138213407946737
mean,ET,lesionwise_hd95_mean_et,91.07134567339656,86.41598056405692,93.21408469155078
mean,ET,lesionwise_hd95_std_et,78.83140272717877,78.49479046629396,90.6952781447362
mean,ET,lesionwise_nsd_mean_et,0.6832952341408614,0.6885357358256634,0.6717227012521435
mean,ET,lesionwise_nsd_std_et,0.20109631180219756,0.19636352617488442,0.2244687142971636
mean,ET,small_instance_tp_et,1.5471698113207548,1.5849056603773586,1.6981132075471699
mean,ET,small_instance_fn_et,5.471698113207547,5.433962264150943,5.320754716981132
mean,ET,small_instance_fp_et,1.2075471698113207,1.3018867924528301,1.6415094339622642
mean,ET,small_instance_f1_et,0.28749586930862303,0.342920182542824,0.3441061832590614
mean,RC,all_instance_tp_rc,0.13592233009708737,0.10679611650485436,0.08737864077669903
mean,RC,all_instance_fp_rc,0.7766990291262136,0.6796116504854369,0.038834951456310676
mean,RC,all_instance_fn_rc,0.06796116504854369,0.0970873786407767,0.11650485436893204
mean,RC,all_instance_f1_rc,0.23623188405797102,0.15555555555555556,0.42105263157894735
mean,RC,large_instance_tp_rc,0.10679611650485436,0.07766990291262135,0.08737864077669903
mean,RC,large_instance_fp_rc,0.7766990291262136,0.6796116504854369,0.038834951456310676
mean,RC,large_instance_fn_rc,0.05825242718446602,0.08737864077669903,0.07766990291262135
mean,RC,large_instance_f1_rc,0.08543689320388348,0.055016181229773455,0.0809061488673139
mean,RC,lesionwise_dsc_mean_rc,0.42350556783994475,0.23593863261840878,0.3770220134765516
mean,RC,lesionwise_dsc_std_rc,0.060898674150699786,0.12251447533522103,0.04496760576915092
mean,RC,lesionwise_hd95_mean_rc,118.50464848917345,231.05054562447887,177.16029016878758
mean,RC,lesionwise_hd95_std_rc,33.74562751602983,82.41925063338022,24.603367350481122
mean,RC,lesionwise_nsd_mean_rc,0.3637118992504718,0.21229973527899354,0.273117923215021
mean,RC,lesionwise_nsd_std_rc,0.05062405107879593,0.1328752582281221,0.0433341648991552
mean,RC,small_instance_tp_rc,0,0,0
mean,RC,small_instance_fn_rc,1.3333333333333333,1.3333333333333333,1.3333333333333333
mean,RC,small_instance_fp_rc,0.3333333333333333,0.6666666666666666,0
mean,RC,small_instance_f1_rc,0,0,0
mean,TC,all_instance_tp_tc,4.029126213592233,4.116504854368932,4.203883495145631
mean,TC,all_instance_fp_tc,0.6990291262135923,0.7961165048543689,0.7864077669902912
mean,TC,all_instance_fn_tc,3.2815533980582523,3.1941747572815533,3.1067961165048543
mean,TC,all_instance_f1_tc,0.699978387660526,0.7268707680298856,0.7259490345960633
mean,TC,large_instance_tp_tc,3.1262135922330097,3.2233009708737863,3.1941747572815533
