region,metric,direction,realonly,completion_plain,completion_focal,best_model
ET,lesionwise_dsc_mean_et,higher,0.6162184355551437,0.6193006106963588,0.6074733398544481,completion_plain
ET,lesionwise_nsd_mean_et,higher,0.6832952341408614,0.6885357358256634,0.6717227012521435,completion_plain
ET,all_instance_f1_et,higher,0.670945902191554,0.7006802239518533,0.6968009542341833,completion_plain
ET,small_instance_f1_et,higher,0.28749586930862303,0.342920182542824,0.3441061832590614,completion_focal
RC,lesionwise_dsc_mean_rc,higher,0.42350556783994475,0.23593863261840878,0.3770220134765516,realonly
RC,lesionwise_nsd_mean_rc,higher,0.3637118992504718,0.21229973527899354,0.273117923215021,realonly
RC,all_instance_f1_rc,higher,0.23623188405797102,0.15555555555555556,0.42105263157894735,completion_focal
RC,all_instance_fp_rc,lower,0.7766990291262136,0.6796116504854369,0.038834951456310676,completion_focal
TC,lesionwise_dsc_mean_tc,higher,0.6470873517352624,0.652318751391365,0.6470039986098058,completion_plain
TC,lesionwise_nsd_mean_tc,higher,0.6955874985178262,0.7020919002887753,0.6945131351688232,completion_plain
TC,all_instance_f1_tc,higher,0.699978387660526,0.7268707680298856,0.7259490345960633,completion_plain
TC,small_instance_f1_tc,higher,0.32364713560786923,0.38584725931664704,0.3772136347800576,completion_plain
WT,lesionwise_dsc_mean_wt,higher,0.6257293868313193,0.5935392950279651,0.5878194859179169,realonly
WT,lesionwise_nsd_mean_wt,higher,0.621358789257056,0.5931455117616247,0.585793784844541,realonly
WT,all_instance_f1_wt,higher,0.710078084437863,0.7237533973786958,0.7122765826533507,completion_plain
WT,small_instance_f1_wt,higher,0.2770480375228513,0.33057016898615926,0.3330825149559165,completion_focal
WT,all_instance_fn_wt,lower,3.116504854368932,3.029126213592233,2.912621359223301,completion_focal
WT,all_instance_fp_wt,lower,0.7475728155339806,0.8932038834951457,0.970873786407767,realonly
