model,subject_id,all_instance_tp_et,all_instance_fp_et,all_instance_fn_et,all_instance_f1_et,large_instance_tp_et,large_instance_fp_et,large_instance_fn_et,large_instance_f1_et,lesionwise_dsc_mean_et,lesionwise_dsc_std_et,lesionwise_hd95_mean_et,lesionwise_hd95_std_et,lesionwise_nsd_mean_et,lesionwise_nsd_std_et,small_instance_tp_et,small_instance_fn_et,small_instance_fp_et,small_instance_f1_et,all_instance_tp_rc,all_instance_fp_rc,all_instance_fn_rc,all_instance_f1_rc,large_instance_tp_rc,large_instance_fp_rc,large_instance_fn_rc,large_instance_f1_rc,lesionwise_dsc_mean_rc,lesionwise_dsc_std_rc,lesionwise_hd95_mean_rc,lesionwise_hd95_std_rc,lesionwise_nsd_mean_rc,lesionwise_nsd_std_rc,small_instance_tp_rc,small_instance_fn_rc,small_instance_fp_rc,small_instance_f1_rc,all_instance_tp_tc,all_instance_fp_tc,all_instance_fn_tc,all_instance_f1_tc,large_instance_tp_tc,large_instance_fp_tc,large_instance_fn_tc,large_instance_f1_tc,lesionwise_dsc_mean_tc,lesionwise_dsc_std_tc,lesionwise_hd95_mean_tc,lesionwise_hd95_std_tc,lesionwise_nsd_mean_tc,lesionwise_nsd_std_tc,small_instance_tp_tc,small_instance_fn_tc,small_instance_fp_tc,small_instance_f1_tc,all_instance_tp_wt,all_instance_fp_wt,all_instance_fn_wt,all_instance_f1_wt,large_instance_tp_wt,large_instance_fp_wt,large_instance_fn_wt,large_instance_f1_wt,lesionwise_dsc_mean_wt,lesionwise_dsc_std_wt,lesionwise_hd95_mean_wt,lesionwise_hd95_std_wt,lesionwise_nsd_mean_wt,lesionwise_nsd_std_wt,small_instance_tp_wt,small_instance_fn_wt,small_instance_fp_wt,small_instance_f1_wt
realonly,BraTS-MET-00006-000.nii.gz,3,0,9,0.4,3,0,6,0.5,0.2398326879091985,0.3644005308117305,249.24239339448357,175.02001917714233,0.29153396227166883,0.41528603291965155,0,3,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,3,0,10,0.375,3,0,6,0.5,0.23976499497282586,0.3642694413893436,249.2721655269759,174.97793112955935,0.2895890023152161,0.412627090431404,0,4,0,0,3,1,8,0.4,3,1,7,0.42857142857142855,0.21001195749244497,0.3600020067705971,271.67401941476123,165.4647721159752,0.24357590107251684,0.3990421636149246,0,1,1,0
realonly,BraTS-MET-00009-000.nii.gz,1,0,0,1,1,0,0,1,0.9152571850950041,0,1.4142135623730951,0,0.9369821620077505,0,,,,,0,0,0,,0,0,0,0,,,,,,,,,,,1,0,0,1,1,0,0,1,0.9578980828884919,0,1.4142135623730951,0,0.9186270143798572,0,,,,,1,0,0,1,1,0,0,1,0.9465344191400324,0,2.449489742783178,0,0.866459327735322,0,,,,
realonly,BraTS-MET-00014-000.nii.gz,18,1,39,0.47368421052631576,18,1,33,0.5142857142857142,0.28284301854647964,0.40404483465771796,244.5092554731196,176.59550002997508,0.3232618508346676,0.4468983688431805,0,6,1,0,0,8,0,0,0,8,0,0,,,,,,,,,,,18,1,39,0.47368421052631576,18,1,33,0.5142857142857142,0.2842330412455954,0.40596546937373124,244.5137154437427,176.58971954937732,0.32358932680355,0.44782238562905907,0,6,1,0,12,1,33,0.41379310344827586,12,1,29,0.4444444444444444,0.2211319195102487,0.3668023939541738,267.2710916923744,167.18189382618544,0.2544523290858044,0.40515747390743534,0,4,1,0
realonly,BraTS-MET-00016-000.nii.gz,5,1,1,0.8333333333333334,5,1,1,0.8333333333333334,0.6563000688579665,0.41916132101554054,107.4040610178209,167.97770844377854,0.696479150610389,0.44090757556175697,,,,,0,1,0,0,0,1,0,0,,,,,,,,,,,5,1,1,0.8333333333333334,5,1,1,0.8333333333333334,0.65794573245831,0.42036220931915075,107.34488765176759,168.01510377055212,0.7050228543520297,0.44620703638708187,,,,,3,1,5,0.5,3,1,1,0.75,0.4193253697239439,0.3839352759166665,162.08852563831496,173.46673991401727,0.426617908014027,0.37587994537647645,0,4,1,0
realonly,BraTS-MET-00019-000.nii.gz,5,1,4,0.6666666666666666,5,1,1,0.8333333333333334,0.6210462144445602,0.3972107460583713,107.61666068433648,167.8449881808751,0.6858509122394415,0.4350700474053352,0,3,1,0,0,0,0,,0,0,0,0,,,,,,,,,,,5,1,4,0.6666666666666666,5,1,1,0.8333333333333334,0.6375923539475309,0.4070154755677732,107.28571428571429,168.05246994037674,0.706975457381657,0.4473039320874077,0,3,1,0,3,1,2,0.6666666666666666,3,1,0,0.8571428571428571,0.6421310185167401,0.3749712013014285,94.59558308686044,160.7371321769083,0.6696494021489675,0.38705022066805705,0,2,1,0
realonly,BraTS-MET-00022-000.nii.gz,20,2,15,0.7017543859649122,18,2,15,0.6792452830188679,0.40190795601225876,0.4024479165444781,172.22361898584984,184.27673879433516,0.462246941844179,0.44782575170957417,1,1,2,0.4,0,7,0,0,0,7,0,0,,,,,,,,,,,20,2,15,0.7017543859649122,18,2,15,0.6792452830188679,0.4168543792156706,0.4177828326031841,172.11869849831464,184.3745856706212,0.4702430072410152,0.45924118390842483,1,1,2,0.4,19,2,12,0.7307692307692307,17,2,13,0.6938775510204082,0.3579642589315538,0.3458502252283952,154.09045310399617,181.11655688861936,0.34483119038819754,0.35398575946991956,0,1,2,0
realonly,BraTS-MET-00025-000.nii.gz,2,0,0,1,2,0,0,1,0.8506258843378516,0.07170026450314076,1.2071067811865475,0.20710678118654757,0.9556741383069345,0.011535815896360768,,,,,0,1,0,0,0,1,0,0,,,,,,,,,,,2,0,0,1,2,0,0,1,0.900457258518084,0.059506618664336264,1.2071067811865475,0.20710678118654757,0.9393160224217734,0.013390096495847381,,,,,2,0,0,1,2,0,0,1,0.902993753241889,0.06095207399090746,1.5731321849709863,0.15891862259789102,0.9073782557237671,0.034391911566273636,,,,
realonly,BraTS-MET-00098-000.nii.gz,1,0,0,1,1,0,0,1,0.8099547511312217,0,1,0,0.9704768270944741,0,,,,,0,1,0,0,0,1,0,0,,,,,,,,,,,1,0,0,1,1,0,0,1,0.8099547511312217,0,1,0,0.9704768270944741,0,,,,,1,0,0,1,1,0,0,1,0.8938766847076303,0,2.23606797749979,0,0.782295628628307,0,,,,
realonly,BraTS-MET-00129-000.nii.gz,2,0,10,0.2857142857142857,2,0,0,1,0.7949974035779714,0.017185337538779877,1.4142135623730951,0,0.9190763591823634,0.005962360487228757,0,10,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,2,0,0,1,2,0,0,1,0.8874199952979072,0.06329939228283171,1.4142135623730951,0,0.9257481436457564,0.01638459311785284,,,,,2,0,0,1,2,0,0,1,0.8690828476896704,0.04277378000129234,2.4391575887554247,1.0249440263823297,0.7544414817427321,0.12057982471939255,,,,
realonly,BraTS-MET-00133-000.nii.gz,13,0,2,0.9285714285714286,12,0,1,0.96,0.705920492155028,0.2110604903935395,1.8488851849975643,0.7763870324030916,0.8454519136833495,0.11141230081481247,0,2,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,13,0,2,0.9285714285714286,12,0,1,0.96,0.7071884348416595,0.2120010501348118,1.6945334381037567,0.3869233496901131,0.8481236408581563,0.10599597652228912,0,2,0,0,9,1,3,0.8181818181818182,8,1,2,0.8421052631578947,0.5845177100186453,0.3552919929075498,69.84828173513696,142.91054669312496,0.6200787871648711,0.31322799522274664,0,2,1,0
